('https://image1.ljcdn.com/440100-inspection/d69973c2-6a7e-47f9-9a0b-a5ddab1a5473.jpg.296x216.jpg', '中海金沙馨园 精装三房 交通便利', '中海金沙馨园二期  | 3室2厅 | 99平米 | 北 | 其他 | 有电梯', '高楼层(共18层)2008年建塔楼  -  金沙洲', '325万', '单价32829元/平米')
('https://image1.ljcdn.com/440100-inspection/cca49c7d-88e9-455f-b163-500d0bd439e2.jpg.296x216.jpg', '怡新花园 花园小区 户型方正 保养新净', '怡新花园  | 2室2厅 | 84.05平米 | 东北 | 其他 | 有电梯', '中楼层(共17层)2007年建塔楼  -  同和', '355万', '单价42237元/平米')
('https://image1.ljcdn.com/440100-inspection/ca1cbdd0-ad8f-494b-bbae-aa6ae0e4aa88.jpg.296x216.jpg', '万科云山花园 精致三居室 东南向望花园', '万科云山花园  | 3室2厅 | 122.59平米 | 南 | 其他 | 有电梯', '中楼层(共18层)2008年建塔楼  -  白云大道北', '480万', '单价39155元/平米')
('https://image1.ljcdn.com/440100-inspection/ced3aa15-dba1-49a0-8d01-6b2a79876204.JPG.296x216.jpg', '岭南新世界 3室2厅 450万', '岭南新世界  | 3室2厅 | 101.2平米 | 西 | 其他 | 有电梯', '中楼层(共16层)2008年建塔楼  -  白云大道北', '450万', '单价44467元/平米')
('https://image1.ljcdn.com/440100-inspection/f75bc000-6c55-458e-bac0-016334fd5c76.jpg.296x216.jpg', '富和花园 三房两厅 中高层采光好', '富和花园  | 3室2厅 | 92平米 | 北 | 其他 | 无电梯', '高楼层(共8层)2002年建塔楼  -  同和', '280万', '单价30435元/平米')
('', '御金沙 交通便利 精装三房', '浔峰御金沙园  | 3室2厅 | 97平米 | 西南 | 其他 | 有电梯', '低楼层(共16层)2012年建塔楼  -  金沙洲', '360万', '单价37114元/平米')
('https://image1.ljcdn.com/440100-inspection/e6fad2bf-b0b0-4eb2-834b-ca7a965aa467.jpg.296x216.jpg', '汇侨新城 东南朝向 实用两房', '汇侨新城东区  | 2室1厅 | 73.46平米 | 南 | 简装 | 无电梯', '低楼层(共9层)2000年建塔楼  -  新市', '205万', '单价27907元/平米')
('https://image1.ljcdn.com/440100-inspection/db3637c8-e43b-44b0-b982-f03c8c2a0bba.jpg.296x216.jpg', '机场路 康雅花园 南北对流两居室 采光好', '康雅花园  | 2室1厅 | 69.06平米 | 南 北 | 简装 | 无电梯', '高楼层(共9层)1999年建塔楼  -  机场路', '175万', '单价25341元/平米')
('https://image1.ljcdn.com/440100-inspection/test-c69145e1-7a47-4cb1-a561-79268bf67a4a.png.296x216.jpg', '富力桃园 3室2厅 379万', '富力桃园  | 3室2厅 | 114.88平米 | 西南 | 精装 | 有电梯', '高楼层(共32层)2004年建塔楼  -  罗冲围', '379万', '单价32991元/平米')
('https://image1.ljcdn.com/440100-inspection/974ff01a-dcd3-4a43-a951-46b0f4e0431c.jpg.296x216.jpg', '天河御品 小区管理好 采光通风', '天河御品  | 3室2厅 | 133.29平米 | 东南 | 其他 | 有电梯', '低楼层(共23层)2010年建塔楼  -  同和', '600万', '单价45015元/平米')
('https://image1.ljcdn.com/440100-inspection/c1d79d4b-fbea-471e-9d5f-ee497d93a308.jpg.296x216.jpg', '万方园 舒适两房 温馨实用', '万方园  | 2室1厅 | 67.15平米 | 南 | 简装 | 有电梯', '中楼层(共18层)1999年建塔楼  -  机场路', '268万', '单价39911元/平米')
('https://image1.ljcdn.com/440100-inspection/5b73b02b-ec30-4fd2-8e66-5d52b7126e1e.jpg.296x216.jpg', '方园小区 三房两厅 南北对流 有大平台', '方圆小区  | 3室2厅 | 118平米 | 南 北 | 其他 | 有电梯', '低楼层(共14层)2003年建塔楼  -  黄石路', '385万', '单价32628元/平米')
('https://image1.ljcdn.com/440100-inspection/9351c8a5-e8b7-4a07-a17c-5aaaa6ed56a8.jpg.296x216.jpg', '景泰新村 低层三房 采光好 装修好 可以马上入住', '景泰新村景泰东四巷  | 3室1厅 | 53.13平米 | 东南 | 其他 | 无电梯', '中楼层(共8层)1990年建塔楼  -  广园路', '185万', '单价34821元/平米')
('https://image1.ljcdn.com/440100-inspection/f75143e8-72f9-4689-9d61-e1d5660dae7e.jpg.296x216.jpg', '云东花园 三房一厅 精致装修 交通方便', '云东花园  | 3室1厅 | 84.5平米 | 西 | 精装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  广园路', '220万', '单价26036元/平米')
('https://image1.ljcdn.com/440100-inspection/test-e1001292-5c1b-4090-8e0f-cafb282b6271.png.296x216.jpg', '岭南新世界 高层精装三房 带入户花园', '岭南新世界  | 4室2厅 | 98平米 | 西 | 简装 | 有电梯', '中楼层(共18层)2008年建塔楼  -  白云大道北', '455万', '单价46429元/平米')
('https://image1.ljcdn.com/440100-inspection/b5f9c816-21a3-46c0-81f0-cda5d435b340.JPG.296x216.jpg', '富力半岛花园 1室1厅 200万', '富力半岛花园  | 1室1厅 | 56.52平米 | 东南 | 其他 | 有电梯', '高楼层(共22层)2005年建塔楼  -  罗冲围', '200万', '单价35386元/平米')
('https://image1.ljcdn.com/440100-inspection/6fec8cd3-a56b-4be9-a086-96636d05984f.jpg.296x216.jpg', '白云大道南 两房一厅 格局方正', '白云大道南  | 2室1厅 | 71平米 | 西南 | 简装 | 无电梯', '高楼层(共9层)塔楼  -  大金钟', '180万', '单价25353元/平米')
('https://image1.ljcdn.com/440100-inspection/fb2a83b3-ff67-4025-9a93-6b9aec7773ad.jpg.296x216.jpg', '汇美西苑 温馨1房 通风采光好', '汇美西苑  | 1室1厅 | 43.75平米 | 南 | 其他 | 无电梯', '高楼层(共9层)1998年建塔楼  -  同德围', '110万', '单价25143元/平米')
('https://image1.ljcdn.com/440100-inspection/030b77ae-9415-49cf-b333-8e2a2fe30b85.jpg.296x216.jpg', '御金沙 四房两厅带装修 南北对流', '浔峰御金沙园  | 4室2厅 | 170平米 | 南 北 | 其他 | 有电梯', '中楼层(共25层)2015年建塔楼  -  金沙洲', '700万', '单价41177元/平米')
('https://image1.ljcdn.com/440100-inspection/dee192cf-6411-4c03-9eeb-e72a387800eb.jpg.296x216.jpg', '金迪城市花园 电梯一房 格局', '金迪城市花园  | 1室1厅 | 45平米 | 西 | 其他 | 有电梯', '中楼层(共15层)1995年建塔楼  -  机场路', '140万', '单价31112元/平米')
('https://image1.ljcdn.com/440100-inspection/4391c33c-bdd4-4c55-835e-4745557289bf.jpg.296x216.jpg', '云景花园 复式3房 精装修 南北对流 送27平露台', '云景花园云桦苑  | 3室2厅 | 104.62平米 | 南 北 | 精装 | 有电梯', '高楼层(共10层)2002年建塔楼  -  同和', '460万', '单价43969元/平米')
('https://image1.ljcdn.com/440100-inspection/test-2cd2bdd9-7d7f-447a-bcc0-987fbf248eee.png.296x216.jpg', '富力桃园 东南向三房 视野开阔', '富力桃园  | 3室2厅 | 137.43平米 | 东南 | 精装 | 有电梯', '中楼层(共29层)2004年建塔楼  -  罗冲围', '495万', '单价36019元/平米')
('https://image1.ljcdn.com/440100-inspection/9d105057-43b2-4832-bfb4-18f18b5c26f4.jpg.296x216.jpg', '云山雅苑 2室1厅 450万', '云山雅苑  | 2室1厅 | 69.6平米 | 西 | 其他 | 有电梯', '中楼层(共18层)2008年建塔楼  -  广园路', '450万', '单价64656元/平米')
('https://image1.ljcdn.com/440100-inspection/dec850e4-553b-4f43-a30f-593381720c0c.jpg.296x216.jpg', '云东花园 2室1厅 146万', '云东花园  | 2室1厅 | 50平米 | 南 | 其他 | 无电梯', '高楼层(共9层)1998年建塔楼  -  广园路', '146万', '单价29200元/平米')
('https://image1.ljcdn.com/440100-inspection/935e0962-a0e7-418b-a8b8-e0f3fea8b552.JPG.296x216.jpg', '机场路 贝丽花园 厅出阳台东向', '贝丽花园  | 3室1厅 | 99.7平米 | 东南 | 精装 | 有电梯', '高楼层(共15层)2009年建塔楼  -  机场路', '415万', '单价41625元/平米')
('', '岭南新世界 东南朝向 高楼层 采光好', '岭南新世界  | 3室2厅 | 120平米 | 东南 | 精装 | 有电梯', '高楼层(共18层)2008年建塔楼  -  白云大道北', '532万', '单价44334元/平米')
('https://image1.ljcdn.com/440100-inspection/08aa0566-202d-47c4-b272-e71026dfba6e.jpg.296x216.jpg', '白云家园 方正三房 交通方便', '白云家园  | 3室2厅 | 76.82平米 | 东南 | 简装 | 无电梯', '低楼层(共5层)1997年建塔楼  -  同和', '250万', '单价32544元/平米')
('https://image1.ljcdn.com/440100-inspection/43015b29-18c5-403f-ba90-755f31ada637.jpg.296x216.jpg', '同德花园 温馨1房 采光好', '同德花园同景东街  | 1室1厅 | 41平米 | 南 | 其他 | 无电梯', '中楼层(共8层)1998年建塔楼  -  同德围', '123万', '单价30000元/平米')
('https://image1.ljcdn.com/440100-inspection/8486a407-78a3-49c3-b3c8-fa759c2ceae4.jpg.296x216.jpg', '民航小区南云西街 2室1厅 252万', '民航小区南云西街  | 2室1厅 | 76.47平米 | 西南 | 其他 | 有电梯', '中楼层(共13层)1995年建塔楼  -  机场路', '252万', '单价32955元/平米')
('https://image1.ljcdn.com/440100-inspection/7d9103ee-8be8-4c8d-85c6-9eed371da518.JPG.296x216.jpg', '机场路 腾龙阁 交通便利', '腾龙阁  | 2室1厅 | 62.13平米 | 南 | 简装 | 有电梯', '中楼层(共14层)1999年建塔楼  -  机场路', '220万', '单价35410元/平米')
('https://image1.ljcdn.com/440100-inspection/b990917e-a8ba-4dc9-9a7a-41a38d4c6b9a.jpg.296x216.jpg', '金桂园舒适两房  小区管理', '金桂园  | 2室1厅 | 70平米 | 西北 | 其他 | 有电梯', '中楼层(共13层)2000年建塔楼  -  桂花岗', '250万', '单价35715元/平米')
('https://image1.ljcdn.com/440100-inspection/132360e3-287c-43d5-a9e6-868ed90f3d0e.JPG.296x216.jpg', '春庭花园 低层 两房 格局方正', '春庭花园  | 2室1厅 | 55.28平米 | 东南 | 简装 | 无电梯', '低楼层(共9层)1999年建塔楼  -  白云山风景区', '130万', '单价23517元/平米')
('https://image1.ljcdn.com/440100-inspection/2d452151-b613-4e40-8116-197e4feb4413.jpg.296x216.jpg', '富力半岛花园 2室1厅 240万', '富力半岛花园  | 2室1厅 | 66平米 | 西北 | 其他 | 有电梯', '高楼层(共12层)2000年建塔楼  -  罗冲围', '240万', '单价36364元/平米')
('https://image1.ljcdn.com/440100-inspection/1855af0f-a552-42b4-a1d3-9776f659e32f.jpg.296x216.jpg', '白云大道南 精装两房 户型方正 大院管理', '白云大道南  | 2室1厅 | 70.79平米 | 南 北 | 简装 | 无电梯', '中楼层(共9层)塔楼  -  大金钟', '208万', '单价29383元/平米')
('https://image1.ljcdn.com/440100-inspection/da382f68-cf26-411b-acdf-fc1541ff75ef.jpg.296x216.jpg', '远景路 精致四房 靓装修 双阳台 带主套', '银苑大厦  | 4室2厅 | 98.36平米 | 西南 | 精装 | 有电梯', '中楼层(共13层)1998年建塔楼  -  机场路', '318万', '单价32331元/平米')
('https://image1.ljcdn.com/440100-inspection/ddcd1a09-e7d0-4909-8bfc-b70034201b37.jpg.296x216.jpg', '百顺台花园 3室1厅 355万', '百顺台花园  | 3室1厅 | 98.03平米 | 北 | 精装 | 有电梯', '低楼层(共15层)2003年建塔楼  -  新市', '355万', '单价36214元/平米')
('https://image1.ljcdn.com/440100-inspection/e418b04b-107e-4ec5-89fe-33dea9704fc5.JPG.296x216.jpg', '百事佳新村A区 2室2厅 218万', '百事佳新村A区  | 2室2厅 | 65.73平米 | 东 | 简装 | 无电梯', '中楼层(共9层)2006年建塔楼  -  广园路', '218万', '单价33166元/平米')
('https://image1.ljcdn.com/440100-inspection/d44119db-3d5d-481e-90b7-8e9adfb098f2.jpg.296x216.jpg', '海德花园 方正三房 带平台', '海德花园  | 3室1厅 | 100平米 | 东 | 简装 | 有电梯', '低楼层(共9层)1999年建塔楼  -  新市', '340万', '单价34000元/平米')
('https://image1.ljcdn.com/440100-inspection/97882dc3-3cfd-44e6-b5ad-8653959ce578.jpg.296x216.jpg', '骏御华庭 单边位宽敞一房 明亮舒适', '骏御华庭  | 1室0厅 | 46.4平米 | 西南 | 其他 | 有电梯', '中楼层(共21层)2012年建塔楼  -  机场路', '170万', '单价36638元/平米')
('https://image1.ljcdn.com/440100-inspection/f277e0a8-885b-4345-b084-4ddc8087044d.JPG.296x216.jpg', '金域蓝湾 3室2厅 430万', '金域蓝湾  | 3室2厅 | 103.13平米 | 西 北 | 其他 | 有电梯', '高楼层(共25层)2008年建塔楼  -  金沙洲', '430万', '单价41695元/平米')
('https://image1.ljcdn.com/440100-inspection/1743ea19-d24d-4e61-9a4a-623d4095f99c.jpg.296x216.jpg', '骏御华庭 精致装修 温馨舒适', '骏御华庭  | 1室0厅 | 41.48平米 | 南 | 其他 | 有电梯', '低楼层(共21层)2012年建塔楼  -  机场路', '152万', '单价36645元/平米')
('https://image1.ljcdn.com/440100-inspection/dd6e71d7-957d-4a1d-ab43-5ec55723c26c.jpg.296x216.jpg', '骏御华庭 单边位宽敞一房 明亮舒适', '骏御华庭  | 1室0厅 | 45.5平米 | 南 | 精装 | 有电梯', '低楼层(共21层)2012年建塔楼  -  机场路', '148万', '单价32528元/平米')
('https://image1.ljcdn.com/440100-inspection/9ce93d09-e233-48d1-90d8-e21176ddb56d.jpg.296x216.jpg', '祥景花园 2室1厅 160万', '祥景花园  | 2室1厅 | 58平米 | 南 | 其他 | 无电梯', '低楼层(共9层)1999年建塔楼  -  黄石路', '160万', '单价27587元/平米')
('https://image1.ljcdn.com/440100-inspection/test-6c528bec-0fcc-49a0-bc37-e858e8a33fff.png.296x216.jpg', '富力桃园  东北望江  实用两房', '富力桃园  | 2室2厅 | 83.46平米 | 东北 | 精装 | 有电梯', '中楼层(共30层)2004年建塔楼  -  罗冲围', '298万', '单价35706元/平米')
('https://image1.ljcdn.com/440100-inspection/40e14a86-2284-4b96-82af-71dba1e2683f.jpg.296x216.jpg', '梅苑小区 楼梯低层  户型方正实用', '梅苑小区  | 2室1厅 | 53.73平米 | 东 | 简装 | 无电梯', '低楼层(共9层)1999年建塔楼  -  同和', '188万', '单价34990元/平米')
('https://image1.ljcdn.com/440100-inspection/c33d5bc0-7f25-45f9-bca1-6e08f440cafb.jpg.296x216.jpg', '紫薇花园 电梯楼高层 实用三房', '紫薇花园  | 3室1厅 | 91.23平米 | 北 | 其他 | 有电梯', '低楼层(共18层)2006年建塔楼  -  新市', '400万', '单价43846元/平米')
('https://image1.ljcdn.com/440100-inspection/a74d93de-fa9f-498c-a11c-f1fdfb802df0.jpg.296x216.jpg', '白云尚城 中层南北户型 4房2卫生 看房方便', '白云尚城  | 4室2厅 | 161.18平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2004年建塔楼  -  白云大道北', '800万', '单价49634元/平米')
('https://image1.ljcdn.com/x-se/hdic-frame/5817b80b-0304-4938-8b20-0fdde2518013.jpg.280x210.jpg', '机场路安居园 大三房 交通便利配套', '安居园  | 2室1厅 | 84.19平米 | 西 | 其他 | 无电梯', '高楼层(共9层)1993年建塔楼  -  机场路', '168万', '单价19955元/平米')
('https://image1.ljcdn.com/440100-inspection/c051230b-03b0-4250-a309-b658c304d302.jpg.296x216.jpg', '白云畔山花园 电梯高层三房', '白云畔山花园  | 3室2厅 | 105.26平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2003年建塔楼  -  白云山风景区', '370万', '单价35152元/平米')
('https://image1.ljcdn.com/440100-inspection/1d4aaaf6-12d4-40cd-bd09-0179d85a641f.jpg.296x216.jpg', '汉苑大厦 3室2厅 268万', '汉苑大厦  | 3室2厅 | 83平米 | 东南 | 其他 | 无电梯', '低楼层(共9层)1995年建塔楼  -  机场路', '268万', '单价32290元/平米')
('https://image1.ljcdn.com/440100-inspection/f7880fc9-fd66-4504-a6d7-d40a217e4670.jpg.296x216.jpg', '晓景苑 2室1厅 153万', '晓景苑  | 2室1厅 | 54.66平米 | 东 | 精装 | 无电梯', '低楼层(共9层)1998年建塔楼  -  机场路', '153万', '单价27992元/平米')
('https://image1.ljcdn.com/440100-inspection/411c2ef9-b14e-4278-a047-331ecac6b091.jpg.296x216.jpg', '康雅花园明亮两房 户型方正 简约温馨舒适', '康雅花园  | 2室1厅 | 62.17平米 | 南 北 | 其他 | 无电梯', '高楼层(共9层)1999年建塔楼  -  机场路', '180万', '单价28953元/平米')
('https://image1.ljcdn.com/440100-inspection/c67d7fa5-b048-4ca5-89f7-15531593fd26.JPG.296x216.jpg', '保利西海岸  近珠江环境优美 小区管理好', '保利西海岸汇海花园  | 3室2厅 | 88.91平米 | 西南 | 其他 | 有电梯', '高楼层(共25层)2010年建塔楼  -  金沙洲', '310万', '单价34867元/平米')
('https://image1.ljcdn.com/440100-inspection/ee6f7f6d-b917-45c3-b997-b675f6d89fdb.jpg.296x216.jpg', '东湖映月 3室2厅 390万', '东湖映月  | 3室2厅 | 123.93平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2012年建塔楼  -  白云大道北', '390万', '单价31470元/平米')
('https://image1.ljcdn.com/440100-inspection/c7799d88-06a1-4bed-98a6-c06bf5571080.jpg.296x216.jpg', '贝丽花园 电梯中层 拎 包入住', '贝丽花园  | 2室1厅 | 55.51平米 | 北 | 其他 | 有电梯', '低楼层(共15层)2009年建塔楼  -  机场路', '238万', '单价42876元/平米')
('https://image1.ljcdn.com/440100-inspection/5768a181-46a6-4c56-b911-c47e2f5d15e0.jpg.296x216.jpg', '机场路 春暖花园 采光好 装修好', '春暖花园  | 1室1厅 | 45平米 | 北 | 其他 | 无电梯', '高楼层(共9层)1995年建塔楼  -  机场路', '120万', '单价26667元/平米')
('https://image1.ljcdn.com/440100-inspection/0f0c67a1-26ae-41a2-96d1-f1d61adbd30d.jpg.296x216.jpg', '时代玫瑰园 房本满两年 电梯花园小区', '时代玫瑰园  | 3室2厅 | 119.97平米 | 西北 | 精装 | 有电梯', '中楼层(共13层)2004年建塔楼  -  白云大道北', '460万', '单价38343元/平米')
('https://image1.ljcdn.com/440100-inspection/17206092-5922-4589-b716-439d3fe3c409.JPG.296x216.jpg', '云逸苑 3室1厅 330万', '云逸苑  | 3室1厅 | 104.24平米 | 南 | 精装 | 有电梯', '低楼层(共12层)塔楼  -  新市', '330万', '单价31658元/平米')
('https://image1.ljcdn.com/440100-inspection/f382c95e-a452-4104-8c3b-143a93dd5b3f.jpg.296x216.jpg', '三元里大道 新市花园 封闭式小区管理', '新市花园二期  | 2室1厅 | 46平米 | 西 | 其他 | 无电梯', '低楼层(共9层)1994年建塔楼  -  新市', '126.8万', '单价27566元/平米')
('https://image1.ljcdn.com/440100-inspection/7bfca1ee-6e38-4f04-911d-ab41e6192b84.jpg.296x216.jpg', '贝丽花园 电梯实用三房', '贝丽花园  | 3室1厅 | 85.24平米 | 东北 | 简装 | 有电梯', '中楼层(共15层)2000年建塔楼  -  机场路', '310万', '单价36368元/平米')
('https://image1.ljcdn.com/440100-inspection/ff85a129-856d-4c2c-a8b2-e06f45e351b5.jpg.296x216.jpg', '东湖映月 户型方正 复式南向', '东湖映月  | 4室2厅 | 138.25平米 | 南 | 其他 | 有电梯', '高楼层(共5层)2012年建板楼  -  白云大道北', '497.7万', '单价36000元/平米')
('https://image1.ljcdn.com/440100-inspection/6640e7fc-5ffa-4009-9825-051777e73501.jpg.296x216.jpg', '纵横缤城 3室2厅 460万', '纵横缤城  | 3室2厅 | 126.97平米 | 西 | 精装 | 有电梯', '低楼层(共18层)2009年建塔楼  -  新市', '460万', '单价36230元/平米')
('https://image1.ljcdn.com/440100-inspection/2b71a402-72e0-4200-9875-afbb443f1edb.jpg.296x216.jpg', '广州富力城 采光好 通风舒适', '富力城  | 2室2厅 | 82.81平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2006年建塔楼  -  白云大道北', '260万', '单价31398元/平米')
('https://image1.ljcdn.com/440100-inspection/af9b99e4-e389-422e-93ce-465981209baf.jpg.296x216.jpg', '梅苑小区宏华楼 精装两房 电梯高层', '梅苑小区  | 2室2厅 | 87平米 | 西 | 其他 | 有电梯', '高楼层(共9层)1999年建塔楼  -  同和', '350万', '单价40230元/平米')
('https://image1.ljcdn.com/440100-inspection/36124642-b823-4e82-9f55-96e164a68cf5.jpg.296x216.jpg', '白云畔山花园 2室1厅 245万', '白云畔山花园  | 2室1厅 | 78.75平米 | 东南 西北 | 简装 | 无电梯', '低楼层(共8层)2003年建塔楼  -  白云山风景区', '245万', '单价31112元/平米')
('https://image1.ljcdn.com/440100-inspection/8ff433eb-c987-468d-a07c-67eaa0e837f6.jpg.296x216.jpg', '紫薇花园 2室2厅 335万', '紫薇花园  | 2室2厅 | 85.17平米 | 西南 | 其他 | 有电梯', '中楼层(共21层)2006年建塔楼  -  新市', '335万', '单价39334元/平米')
('https://image1.ljcdn.com/440100-inspection/1955ffde-047b-4921-b987-aafdb67813c9.jpg.296x216.jpg', '三元里大道 白沙新村 厅出阳台', '白沙新村  | 1室1厅 | 46.71平米 | 西南 | 简装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  机场路', '110万', '单价23550元/平米')
('https://image1.ljcdn.com/440100-inspection/fdb11555-2339-4709-a1f0-7cb8523b3bf4.JPG.296x216.jpg', '广园景泰新村 低层大两房 东向采光好 精装修', '景泰新村景泰直街  | 2室1厅 | 54.22平米 | 东 | 精装 | 无电梯', '低楼层(共8层)2008年建塔楼  -  广园路', '178万', '单价32830元/平米')
('https://image1.ljcdn.com/440100-inspection/784f46a6-edc8-4ab1-9657-3385395a7961.JPG.296x216.jpg', '金碧雅苑 中层两房 通风采光好', '金碧雅苑  | 2室2厅 | 65.59平米 | 南 | 其他 | 有电梯', '高楼层(共11层)2003年建塔楼  -  白云大道北', '300万', '单价45739元/平米')
('https://image1.ljcdn.com/440100-inspection/d0247378-7ede-4369-bbee-e555d4da9f11.jpg.296x216.jpg', '晓翠苑 电梯三房 厅出阳台', '晓翠苑逸意居  | 3室1厅 | 98.83平米 | 东 | 其他 | 有电梯', '低楼层(共15层)1999年建塔楼  -  机场路', '260万', '单价26308元/平米')
('https://image1.ljcdn.com/440100-inspection/a241cd26-f10a-4675-a34b-3d72239e4e11.JPG.296x216.jpg', '纵横缤城 3室2厅 478万', '纵横缤城  | 3室2厅 | 120平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2009年建塔楼  -  新市', '478万', '单价39834元/平米')
('https://image1.ljcdn.com/440100-inspection/56be029b-a575-4b40-a2cd-ec40c4df5194.jpg.296x216.jpg', '富力城 精装修 大三房 视野开阔', '富力城  | 3室2厅 | 111.07平米 | 东北 | 其他 | 有电梯', '中楼层(共18层)2005年建塔楼  -  白云大道北', '350万', '单价31512元/平米')
('https://image1.ljcdn.com/440100-inspection/52d2d9a6-07dc-445c-84a1-834218e7f167.jpg.296x216.jpg', '元邦航空家园 电梯两房', '元邦航空家园  | 2室1厅 | 87平米 | 北 | 其他 | 有电梯', '中楼层(共15层)2004年建塔楼  -  黄石路', '285万', '单价32759元/平米')
('https://image1.ljcdn.com/440100-inspection/86cbd0ca-46f1-4c7b-88a5-460b601ff0e4.JPG.296x216.jpg', '民航小区松云街 2室2厅 258万', '民航小区松云街  | 2室2厅 | 84.04平米 | 东南 | 其他 | 有电梯', '中楼层(共15层)1995年建塔楼  -  机场路', '258万', '单价30700元/平米')
('https://image1.ljcdn.com/440100-inspection/ff1964d8-e4ba-49c7-a8e3-1a965d5c8987.jpg.296x216.jpg', '怡新花园中层 方正两房 精装修 视野开阔', '怡新花园  | 2室2厅 | 88.19平米 | 东北 | 精装 | 有电梯', '高楼层(共16层)2007年建塔楼  -  同和', '400万', '单价45357元/平米')
('https://image1.ljcdn.com/440100-inspection/b0faa5f1-27cf-4329-a5d4-c1549304ee25.jpg.296x216.jpg', '增槎路 1室0厅 95万', '增槎路  | 1室0厅 | 22.75平米 | 东 | 其他 | 无电梯', '高楼层(共9层)塔楼  -  罗冲围', '95万', '单价41759元/平米')
('https://image1.ljcdn.com/440100-inspection/test-51cd32e6-8348-4583-8659-1a7be5694c6b.png.296x216.jpg', '富力桃园  方正两房 采光通风好', '富力桃园  | 2室2厅 | 85.72平米 | 东北 | 简装 | 有电梯', '低楼层(共30层)2004年建塔楼  -  罗冲围', '310万', '单价36165元/平米')
('https://image1.ljcdn.com/440100-inspection/74d4b962-b61a-4400-b64e-0e6352856b1b.jpg.296x216.jpg', '广园云苑新村 低层三房 精致装修 带50方平台 配套成熟', '广园云苑新村  | 3室2厅 | 90平米 | 西 西北 | 其他 | 无电梯', '低楼层(共9层)1999年建塔楼  -  广园路', '265万', '单价29445元/平米')
('https://image1.ljcdn.com/440100-inspection/6e546623-0e8e-4954-8b5a-5c14d4ede43f.jpg.296x216.jpg', '外语学院 实用三房 低层南向', '外语外贸学院  | 3室2厅 | 82.7平米 | 南 | 其他 | 无电梯', '中楼层(共5层)1995年建板楼  -  白云山风景区', '420万', '单价50786元/平米')
('https://image1.ljcdn.com/440100-inspection/7c347942-21f3-4a2b-90f7-aed35b147077.jpg.296x216.jpg', '祥景花园 一房一厅 格局方正', '祥景花园  | 2室1厅 | 46平米 | 北 | 其他 | 无电梯', '高楼层(共9层)1999年建塔楼  -  黄石路', '128万', '单价27827元/平米')
('https://image1.ljcdn.com/440100-inspection/4787a47b-806b-4601-801c-c0a45b5fec74.jpg.296x216.jpg', '外语学院 中高层 朝向好 通风光线足', '外语外贸学院  | 3室1厅 | 75平米 | 南 | 其他 | 无电梯', '高楼层(共4层)1995年建板楼  -  白云山风景区', '350万', '单价46667元/平米')
('https://image1.ljcdn.com/440100-inspection/a2ca108c-fb3b-4a11-98b0-4dcec82ccd14.jpg.296x216.jpg', '山水庭苑 小区环境优美', '山水庭苑  | 3室2厅 | 117.36平米 | 北 | 其他 | 有电梯', '低楼层(共19层)2007年建塔楼  -  南湖', '505万', '单价43030元/平米')
('https://image1.ljcdn.com/440100-inspection/9587b1d5-a07c-4c71-94e5-e2e5aab1b2a4.jpg.296x216.jpg', '富力桃园 高层实用两房 采光好', '富力桃园  | 2室2厅 | 77平米 | 东南 | 简装 | 有电梯', '高楼层(共32层)2004年建塔楼  -  罗冲围', '295万', '单价38312元/平米')
('https://image1.ljcdn.com/440100-inspection/254a2fd8-0d6a-45a4-8098-c54bc1cdb348.jpg.296x216.jpg', '远景路 美景苑 电梯两房 采光通风佳', '美景苑  | 2室1厅 | 77.8平米 | 南 | 简装 | 有电梯', '高楼层(共9层)2008年建塔楼  -  机场路', '310万', '单价39846元/平米')
('https://image1.ljcdn.com/440100-inspection/8c8b7dfb-6698-4009-b55f-3ec074663ac6.JPG.296x216.jpg', '时代玫瑰园 高层 南向 电梯两房', '时代玫瑰园  | 2室1厅 | 76.34平米 | 南 | 精装 | 有电梯', '高楼层(共18层)2008年建塔楼  -  白云大道北', '320万', '单价41918元/平米')
('https://image1.ljcdn.com/440100-inspection/38609a1a-f857-43af-8a4c-2ad35239bb03.jpg.296x216.jpg', '富力半岛花园 D区三房 望江', '富力半岛花园  | 3室2厅 | 89.56平米 | 西北 | 其他 | 有电梯', '高楼层(共27层)2003年建塔楼  -  罗冲围', '320万', '单价35731元/平米')
('https://image1.ljcdn.com/440100-inspection/dce165bb-1786-44a1-93c8-818766ba9df5.jpg.296x216.jpg', '机场路 时代花园 南向两房', '时代花园  | 4室2厅 | 66.34平米 | 南 | 其他 | 有电梯', '中楼层(共15层)1999年建塔楼  -  机场路', '292万', '单价44016元/平米')
('https://image1.ljcdn.com/440100-inspection/1dc2ff2a-b36c-43b0-9195-da9a54cd925b.jpg.296x216.jpg', '荷塘月色 中高层南向3房 户型方正', '白云高尔夫花园荷塘月色  | 3室2厅 | 115.92平米 | 东南 南 | 其他 | 有电梯', '高楼层(共11层)2002年建塔楼  -  黄石路', '555万', '单价47878元/平米')
