('https://image1.ljcdn.com/440100-inspection/6b573c3a-c4c0-4c40-b022-71347142fc48.jpg.296x216.jpg', '凤凰城凤仪苑经典四房', '碧桂园凤凰城凤仪苑  | 4室2厅 | 136.93平米 | 东北 | 精装 | 无电梯', '高楼层(共6层)2002年建塔楼  -  凤凰城', '280万', '单价20449元/平米')
('https://image1.ljcdn.com/440100-inspection/acccde4d-4433-4f47-9141-c9ab313a60f7.jpg.296x216.jpg', '凤馨苑 精装三房 位置安静 望小区环境', '碧桂园凤凰城凤馨苑  | 3室2厅 | 96.06平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2002年建塔楼  -  凤凰城', '248万', '单价25818元/平米')
('https://image1.ljcdn.com/440100-inspection/e1731cc3-424c-493b-a7e8-7075107e92cd.jpg.296x216.jpg', '凤凰城凤仪苑 南向复式', '碧桂园凤凰城凤仪苑  | 5室2厅 | 167.22平米 | 南 | 简装 | 无电梯', '高楼层(共6层)2002年建塔楼  -  凤凰城', '398万', '单价23801元/平米')
('https://image1.ljcdn.com/440100-inspection/d2e4c617-464f-468f-a895-60772a11b3f6.jpg.296x216.jpg', '碧桂园凤凰城凤盈苑 3室2厅 300万', '碧桂园凤凰城凤盈苑  | 3室2厅 | 141.6平米 | 东 | 精装 | 无电梯', '中楼层(共7层)2002年建塔楼  -  凤凰城', '300万', '单价21187元/平米')
('https://image1.ljcdn.com/440100-inspection/d5d33671-d098-4fbe-b5e5-fecf450b3779.jpg.296x216.jpg', '凤凰城凤岭苑 楼梯推荐 精装实用', '碧桂园凤凰城凤岭苑  | 4室2厅 | 137.22平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2002年建板楼  -  凤凰城', '320万', '单价23321元/平米')
('https://image1.ljcdn.com/440100-inspection/e63896d8-2938-44a4-946e-6d098e3d0137.jpg.296x216.jpg', '凤凰城凤馨苑 一楼大花园 精装2房', '碧桂园凤凰城凤馨苑  | 2室2厅 | 92.4平米 | 南 | 其他 | 有电梯', '低楼层(共11层)2002年建塔楼  -  凤凰城', '280万', '单价30304元/平米')
('https://image1.ljcdn.com/440100-inspection/74576b7c-ab64-457c-84ea-9ed6fb953baa.jpg.296x216.jpg', '凤天苑 N+1户型 精装修 带车位', '碧桂园凤凰城凤天苑  | 3室2厅 | 135平米 | 南 北 | 其他 | 有电梯', '中楼层(共24层)2002年建塔楼  -  凤凰城', '390万', '单价28889元/平米')
('https://image1.ljcdn.com/440100-inspection/a58d9174-605d-4cd8-a2ca-d0ef408a7f12.jpg.296x216.jpg', '凤仪苑 精装两房 园林景观 环境好', '碧桂园凤凰城凤仪苑  | 2室2厅 | 78.16平米 | 东北 | 其他 | 无电梯', '低楼层(共6层)2002年建塔楼  -  凤凰城', '189万', '单价24182元/平米')
('https://image1.ljcdn.com/440100-inspection/aa77b822-b911-4cc4-b6c9-2f3c3ab45481.jpg.296x216.jpg', '翡翠绿洲 育才阳光苑 精装大四房', '翡翠绿洲育才阳光苑  | 4室2厅 | 88.37平米 | 西南 | 精装 | 有电梯', '低楼层(共17层)2011年建塔楼  -  凤凰城', '318万', '单价35986元/平米')
('https://image1.ljcdn.com/440100-inspection/e4d1655d-9448-4427-a942-091e157edfea.jpg.296x216.jpg', '凤凰城凤仪苑 精装三房', '碧桂园凤凰城凤仪苑  | 3室2厅 | 105.51平米 | 东南 | 其他 | 无电梯', '低楼层(共6层)2002年建塔楼  -  凤凰城', '235万', '单价22273元/平米')
('https://image1.ljcdn.com/440100-inspection/e5d9bb6c-082c-4c03-baa8-2e76949d3803.jpg.296x216.jpg', '翡翠绿洲 育才阳光苑 精装大四房', '翡翠绿洲育才阳光苑  | 4室2厅 | 70.48平米 | 西南 | 精装 | 有电梯', '低楼层(共17层)2011年建塔楼  -  凤凰城', '318万', '单价45120元/平米')
('https://image1.ljcdn.com/440100-inspection/0659b863-94b9-4cd8-802f-a72eb23c75cc.jpg.296x216.jpg', '翡翠绿洲 湖翠苑 精装大三房 满两年', '翡翠绿洲湖翠苑  | 3室2厅 | 136平米 | 北 | 其他 | 有电梯', '中楼层(共24层)2011年建塔楼  -  凤凰城', '330万', '单价24265元/平米')
('https://image1.ljcdn.com/440100-inspection/87dce389-dc46-4f89-98cb-2e1d90121a51.jpg.296x216.jpg', '翡翠绿洲 森林半岛 过五年唯一 中高层', '翡翠绿洲森林半岛  | 2室2厅 | 87.47平米 | 西 | 其他 | 有电梯', '低楼层(共25层)2011年建塔楼  -  凤凰城', '195万', '单价22294元/平米')
('https://image1.ljcdn.com/440100-inspection/e4446574-176c-41cd-87b1-b0432c598a62.jpg.296x216.jpg', '翡翠绿洲 毛坯大三房', '翡翠绿洲湖翠苑  | 3室2厅 | 137.13平米 | 北 | 其他 | 有电梯', '中楼层(共20层)2011年建塔楼  -  凤凰城', '340万', '单价24794元/平米')
('https://image1.ljcdn.com/440100-inspection/8399cb42-5b50-47cf-85ab-ebc48b07ef78.jpg.296x216.jpg', '海伦堡花园 实用两房两厅', '广州海伦堡  | 2室2厅 | 83平米 | 北 | 其他 | 有电梯', '低楼层(共17层)2008年建塔楼  -  新塘', '185万', '单价22290元/平米')
('https://image1.ljcdn.com/440100-inspection/a309cf6b-bb17-4b3a-8100-d5902c380daa.jpg.296x216.jpg', '乐盈门 温馨三房 出行购物方便', '新都盛世名门  | 3室2厅 | 92.04平米 | 北 | 精装 | 有电梯', '高楼层(共12层)2012年建塔楼  -  新塘', '255万', '单价27706元/平米')
('https://image1.ljcdn.com/440100-inspection/d7a97c52-e33a-4c19-88c6-6f2937087e7c.jpg.296x216.jpg', '新康花园  电梯南向大两房  中高层', '新康花园  | 2室2厅 | 88.39平米 | 南 | 其他', '中楼层(共11层)塔楼  -  新塘', '188万', '单价21270元/平米')
('https://image1.ljcdn.com/440100-inspection/96c8aca2-d5f7-4251-8669-0d01af237215.jpg.296x216.jpg', '锦绣新天地 东南朝向 户型方正', '锦绣新天地  | 3室2厅 | 85平米 | 东南 | 其他 | 有电梯', '低楼层(共15层)2009年建塔楼  -  新塘', '185万', '单价21765元/平米')
('https://image1.ljcdn.com/440100-inspection/d0d01ad8-9005-4856-bf5d-e415c7125dd8.jpg.296x216.jpg', '凤馨苑 南向三房两卫 精装修', '碧桂园凤凰城凤馨苑  | 3室2厅 | 98.65平米 | 南 | 简装 | 无电梯', '中楼层(共5层)2002年建塔楼  -  凤凰城', '240万', '单价24329元/平米')
('https://image1.ljcdn.com/440100-inspection/6e84841b-eba3-4d68-9b05-3637ddf8974d.jpg.296x216.jpg', '东方名都 三房精装修 交通便利', '东方名都  | 3室2厅 | 96平米 | 西 | 其他 | 有电梯', '高楼层(共29层)2013年建塔楼  -  新塘', '250万', '单价26042元/平米')
('https://image1.ljcdn.com/440100-inspection/b910d18c-478d-49b6-bd6b-cd819d94ef0b.jpg.296x216.jpg', '翡翠绿洲 湖翠苑南向大两房 满两年', '翡翠绿洲湖翠苑  | 2室2厅 | 94.88平米 | 南 | 其他 | 有电梯', '低楼层(共24层)2011年建塔楼  -  凤凰城', '230万', '单价24242元/平米')
('https://image1.ljcdn.com/440100-inspection/b7caf2ba-4310-46c1-83f3-dc45a6f22834.jpg.296x216.jpg', '汇东国际 南向三房 格局方正', '汇东国际花园  | 3室2厅 | 88.86平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2012年建塔楼  -  新塘', '230万', '单价25884元/平米')
('https://image1.ljcdn.com/440100-inspection/032e4a37-88b6-45e1-885f-e3d0e68675ba.jpg.296x216.jpg', '锦绣天伦三街 大两房 户型方正', '锦绣天伦花园  | 2室2厅 | 81平米 | 北 | 其他 | 有电梯', '低楼层(共33层)塔楼  -  新塘', '170万', '单价20988元/平米')
('https://image1.ljcdn.com/440100-inspection/32d9e7f8-184b-412f-b284-55f57f669200.jpg.296x216.jpg', '海伦堡欧洲园林风小区 精装三房', '广州海伦堡  | 3室2厅 | 102.72平米 | 东 | 其他', '中楼层(共11层)2008年建塔楼  -  新塘', '210万', '单价20444元/平米')
('https://image1.ljcdn.com/440100-inspection/5b652b92-065e-4684-a8de-368c44424537.jpg.296x216.jpg', '海伦堡花园 精装三房 南北对', '广州海伦堡  | 3室2厅 | 95平米 | 东北 | 其他 | 有电梯', '中楼层(共18层)2012年建塔楼  -  新塘', '200万', '单价21053元/平米')
('https://image1.ljcdn.com/440100-inspection/d1ce5264-3082-484a-85b6-6bf66516c2fb.jpg.296x216.jpg', '新康花园 南向二房 保养好', '新康花园  | 2室2厅 | 84.93平米 | 南 | 其他 | 无电梯', '中楼层(共7层)板楼  -  新塘', '150万', '单价17662元/平米')
('https://image1.ljcdn.com/440100-inspection/86af5c49-11d6-4b1a-90f2-f44c1dad9b5f.jpg.296x216.jpg', '新世界花园  嘉怡苑实用中层3房', '新塘新世界花园嘉怡苑  | 3室2厅 | 83平米 | 北 | 其他 | 无电梯', '高楼层(共6层)塔楼  -  新塘', '190万', '单价22892元/平米')
('https://image1.ljcdn.com/440100-inspection/0ee658ce-f30e-4266-9a3b-83b9b520e261.jpg.296x216.jpg', '新塘 力诚凯怡湾 毛坯三房', '力诚凯怡湾  | 3室2厅 | 78.9平米 | 南 | 其他 | 有电梯', '高楼层(共31层)2013年建塔楼  -  新塘', '166万', '单价21040元/平米')
('https://image1.ljcdn.com/440100-inspection/1ba91db2-614c-41b4-8bbd-92780d62bc63.jpg.296x216.jpg', '凤仪苑 温馨两房 环境安静舒', '碧桂园凤凰城凤仪苑  | 2室2厅 | 78平米 | 东 | 精装 | 无电梯', '中楼层(共6层)2002年建塔楼  -  凤凰城', '190万', '单价24359元/平米')
('https://image1.ljcdn.com/440100-inspection/9413bda3-4b7e-4043-816e-f1667a4cd11c.jpg.296x216.jpg', '凤晴苑 标准四房 保养新正', '碧桂园凤凰城凤晴苑  | 4室2厅 | 139.73平米 | 南 北 | 精装 | 有电梯', '低楼层(共32层)2002年建塔楼  -  凤凰城', '377.3万', '单价27000元/平米')
('https://image1.ljcdn.com/440100-inspection/779b50a1-64e6-49cb-ab29-003c15e56651.jpg.296x216.jpg', '碧桂园 凤岭苑 电梯四房', '碧桂园凤凰城凤岭苑  | 4室2厅 | 177.8平米 | 北 | 其他 | 有电梯', '高楼层(共11层)2002年建塔楼  -  凤凰城', '450万', '单价25310元/平米')
('https://image1.ljcdn.com/440100-inspection/d7193c29-d1a2-47fd-a989-fee7b56075d3.jpg.296x216.jpg', '新世界万象苑 精装大户型 出行方便', '新塘新世界花园万象苑  | 4室2厅 | 117平米 | 南 北 | 其他 | 有电梯', '低楼层(共18层)2009年建塔楼  -  新塘', '300万', '单价25642元/平米')
('https://image1.ljcdn.com/440100-inspection/ba7cff30-da9f-46a5-9528-9f635b130aab.jpg.296x216.jpg', '东方名都 高层视野开阔 保养好', '东方名都  | 4室2厅 | 166.58平米 | 南 北 | 其他 | 有电梯', '低楼层(共29层)2013年建塔楼  -  新塘', '428万', '单价25694元/平米')
('https://image1.ljcdn.com/440100-inspection/91ef6652-baea-46f0-8f55-dff3677b7739.jpg.296x216.jpg', '凤仪苑 精装四房 园林景观 环境好', '碧桂园凤凰城凤仪苑  | 4室2厅 | 154.44平米 | 东北 | 精装 | 无电梯', '高楼层(共6层)2002年建塔楼  -  凤凰城', '308万', '单价19944元/平米')
('https://image1.ljcdn.com/440100-inspection/bb53a39c-30cf-409a-9048-38942e9484a3.jpg.296x216.jpg', '凤凰城凤岭苑 顶层复式', '碧桂园凤凰城凤岭苑  | 5室2厅 | 168.62平米 | 南 北 | 精装 | 无电梯', '高楼层(共6层)2002年建板楼  -  凤凰城', '430万', '单价25502元/平米')
('', '新世界花园南北通透三房，地铁站800米处', '新塘新世界花园嘉华苑  | 3室2厅 | 95平米 | 北 | 其他 | 无电梯', '中楼层(共7层)塔楼  -  新塘', '190万', '单价20000元/平米')
('https://image1.ljcdn.com/440100-inspection/2df45d6c-b408-4d86-96ee-9a285bdcb391.jpg.296x216.jpg', '新世界花园，精装三房', '新塘新世界花园  | 3室2厅 | 103.8平米 | 南 | 精装 | 无电梯', '高楼层(共7层)塔楼  -  新塘', '203万', '单价19557元/平米')
('https://image1.ljcdn.com/440100-inspection/747195e4-d456-4142-af82-1a286a8b9697.jpg.296x216.jpg', '凤晴苑 南向两房 望别墅', '碧桂园凤凰城凤晴苑  | 2室2厅 | 78.78平米 | 南 | 精装 | 有电梯', '中楼层(共17层)塔楼  -  凤凰城', '215万', '单价27292元/平米')
('https://image1.ljcdn.com/440100-inspection/7b34dcb2-f273-45bb-816f-79d13dc257e3.jpg.296x216.jpg', '锦绣新天地 中高楼层 南向三房', '锦绣新天地  | 3室2厅 | 109.76平米 | 南 | 其他 | 有电梯', '低楼层(共18层)2009年建塔楼  -  新塘', '255万', '单价23233元/平米')
('https://image1.ljcdn.com/440100-inspection/f79ee400-2d1f-445f-9075-0425b98707b0.jpg.296x216.jpg', '东方名都 环境舒适 带一个大平台', '东方名都  | 3室1厅 | 141.03平米 | 西北 | 其他 | 有电梯', '低楼层(共29层)2013年建塔楼  -  新塘', '310万', '单价21982元/平米')
('https://image1.ljcdn.com/440100-inspection/80d24cb0-49c7-438c-a059-f2868db35860.jpg.296x216.jpg', '豪进广场 中高楼层 位置安静 配套成熟', '碧桂园豪进广场  | 4室2厅 | 138平米 | 南 北 | 其他 | 无电梯', '低楼层(共31层)塔楼  -  新塘', '358.8万', '单价26000元/平米')
('https://image1.ljcdn.com/440100-inspection/12dffeec-a576-434e-b77e-806f678663e7.jpg.296x216.jpg', '锦绣天伦2房2厅 北向望花园看房方便', '锦绣天伦花园  | 2室2厅 | 84.9平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2017年建塔楼  -  新塘', '180万', '单价21202元/平米')
('https://image1.ljcdn.com/440100-inspection/3f039f51-a729-4a50-96c8-04e4b3cdc695.jpg.296x216.jpg', '豪进广场毛坯三房两厅两卫望小区安静舒适', '碧桂园豪进广场  | 3室2厅 | 100.34平米 | 南 | 其他 | 有电梯', '中楼层(共30层)塔楼  -  新塘', '270万', '单价26909元/平米')
('https://image1.ljcdn.com/440100-inspection/17123b29-ea06-4cf7-bd2f-81e06a8e9489.jpg.296x216.jpg', '荔富广场 东向两房', '荔富广场  | 2室2厅 | 76.4平米 | 东 | 其他', '低楼层(共18层)塔楼  -  新塘', '130万', '单价17016元/平米')
('https://image1.ljcdn.com/440100-inspection/23d788fc-4666-4e6b-bdfb-cc48bb479b3b.jpg.296x216.jpg', '嘉华苑 宽敞三房 采光好', '新塘新世界花园嘉华苑  | 3室2厅 | 103平米 | 南 | 其他 | 无电梯', '高楼层(共7层)塔楼  -  新塘', '197万', '单价19127元/平米')
('https://image1.ljcdn.com/440100-inspection/7373d2b8-b75b-424c-8591-e2cfb88a9383.jpg.296x216.jpg', '新世界花园 成熟小区 南向两房', '新塘新世界花园嘉华苑  | 2室2厅 | 74.7平米 | 南 | 简装 | 无电梯', '高楼层(共7层)塔楼  -  新塘', '150万', '单价20081元/平米')
('https://image1.ljcdn.com/440100-inspection/bef1a92b-1009-46a6-802b-f0a85a38931a.jpg.296x216.jpg', '新世界花园 精装三房', '新塘新世界花园嘉怡苑  | 3室2厅 | 108.12平米 | 北 | 其他 | 无电梯', '高楼层(共6层)2000年建塔楼  -  新塘', '195万', '单价18036元/平米')
('https://image1.ljcdn.com/440100-inspection/fbd30821-958c-4e6c-be71-d3c6de2d2010.jpg.296x216.jpg', '新康花园 电梯正规一房一厅', '新康花园康馨苑  | 1室2厅 | 55.1平米 | 北 | 其他', '中楼层(共11层)塔楼  -  新塘', '105万', '单价19057元/平米')
('https://image1.ljcdn.com/440100-inspection/e0ad1913-b29b-4db1-a802-75ae503d2b9a.jpg.296x216.jpg', '凤馨苑 南向精装两房 安静', '碧桂园凤凰城凤馨苑  | 2室2厅 | 84.87平米 | 南 | 精装 | 无电梯', '高楼层(共6层)2002年建塔楼  -  凤凰城', '200万', '单价23566元/平米')
('https://image1.ljcdn.com/440100-inspection/3ea73b6f-1c03-4393-a117-14687e49886c.jpg.296x216.jpg', '凤天苑 南向 通风采光好 带车位', '碧桂园凤凰城凤天苑  | 3室2厅 | 118.59平米 | 南 | 其他 | 有电梯', '低楼层(共24层)2002年建塔楼  -  凤凰城', '320万', '单价26984元/平米')
('https://image1.ljcdn.com/440100-inspection/9353478b-c1fc-42d2-9978-d9552776a7b5.jpg.296x216.jpg', '新景豪庭 交通便利 环境好 格局方正实用', '新景豪庭  | 2室2厅 | 86.02平米 | 南 北 | 其他 | 有电梯', '低楼层(共14层)2016年建塔楼  -  新塘', '194万', '单价22553元/平米')
('', '凤凰城凤晴苑高楼层视野广精装一房', '碧桂园凤凰城凤晴苑  | 1室1厅 | 51.21平米 | 东 | 其他 | 有电梯', '高楼层(共28层)2002年建塔楼  -  凤凰城', '125万', '单价24410元/平米')
('https://image1.ljcdn.com/440100-inspection/eba24248-e454-4f4b-bff8-850c8aa74940.jpg.296x216.jpg', '南向 中楼层 正规2房 采光好', '新康花园  | 2室2厅 | 81.72平米 | 南 | 其他 | 无电梯', '中楼层(共7层)塔楼  -  新塘', '155万', '单价18968元/平米')
('https://image1.ljcdn.com/440100-inspection/b64326f3-a08b-432e-af7c-e77ea4cd0d61.jpg.296x216.jpg', '凤妍苑南向三房 带车位带入户花园 保养新', '碧桂园凤凰城凤妍苑  | 3室2厅 | 100.23平米 | 南 | 精装 | 有电梯', '中楼层(共17层)2002年建塔楼  -  凤凰城', '245万', '单价24444元/平米')
('https://image1.ljcdn.com/440100-inspection/f3f3cf24-ba9c-43cb-a151-d91e6aab4c45.jpg.296x216.jpg', '凤馨苑南向带阁楼 带车位保养新', '碧桂园凤凰城凤馨苑  | 3室2厅 | 92平米 | 南 | 精装 | 有电梯', '高楼层(共11层)2002年建塔楼  -  凤凰城', '255万', '单价27718元/平米')
('https://image1.ljcdn.com/440100-inspection/67e29f3d-ff22-4cfe-a959-2b327a359902.jpg.296x216.jpg', '新康花园两房', '新康花园康馨苑  | 2室1厅 | 82平米 | 北 | 简装', '中楼层(共11层)塔楼  -  新塘', '160万', '单价19513元/平米')
('https://image1.ljcdn.com/440100-inspection/6dd10bb8-d14f-45c7-a26e-8f87458de27f.jpg.296x216.jpg', '盛景苑 精装两房 保养好 上等楼层', '新都盛世名门  | 2室2厅 | 88平米 | 南 | 精装 | 有电梯', '低楼层(共11层)2012年建塔楼  -  新塘', '225万', '单价25569元/平米')
('https://image1.ljcdn.com/440100-inspection/40521d37-4abe-4c26-a54a-a7e935a03bca.jpg.296x216.jpg', '凤妍苑 温馨三房 保养好', '碧桂园凤凰城凤妍苑  | 3室2厅 | 99.18平米 | 南 北 | 精装 | 有电梯', '低楼层(共18层)2002年建塔楼  -  凤凰城', '280万', '单价28232元/平米')
('https://image1.ljcdn.com/440100-inspection/385006a6-c5b9-45f2-89a6-7330152f9ec6.jpg.296x216.jpg', '翡翠绿洲 南向大四房 中式古典风装修', '翡翠绿洲森林半岛  | 4室2厅 | 184平米 | 南 | 精装 | 有电梯', '低楼层(共17层)2011年建塔楼  -  凤凰城', '470万', '单价25544元/平米')
('https://image1.ljcdn.com/440100-inspection/8668d635-df24-4e94-9535-932ce6795930.jpg.296x216.jpg', '新世界花园 北向两房 装修保养好', '新塘新世界花园嘉华苑  | 2室2厅 | 74.52平米 | 北 | 其他 | 无电梯', '高楼层(共7层)塔楼  -  新塘', '145万', '单价19458元/平米')
('https://image1.ljcdn.com/440100-inspection/15ed11ef-4883-4954-a5e4-3220f699512b.jpg.296x216.jpg', '豪进山湖珺璟 精装三房 满两年', '豪进山湖珺璟  | 3室2厅 | 94.79平米 | 南 | 精装 | 有电梯', '高楼层(共33层)2013年建塔楼  -  新塘', '255万', '单价26902元/平米')
('https://image1.ljcdn.com/440100-inspection/c2889908-f6da-4386-8df8-68bf6370e0d6.jpg.296x216.jpg', '翡翠绿洲   湖翠苑    东向三房', '翡翠绿洲湖翠苑  | 3室2厅 | 103.58平米 | 东 | 其他 | 有电梯', '中楼层(共17层)2011年建塔楼  -  凤凰城', '260万', '单价25102元/平米')
('https://image1.ljcdn.com/440100-inspection/94ebef92-49b6-40f6-9b9a-8fbdfc712366.jpg.296x216.jpg', '金泽豪庭 2室2厅 215万', '金泽豪庭  | 2室2厅 | 82.73平米 | 北 | 其他 | 有电梯', '低楼层(共27层)2009年建塔楼  -  新塘', '215万', '单价25989元/平米')
('https://image1.ljcdn.com/440100-inspection/e49cab13-729c-46e9-9012-02d69bf69ea2.jpg.296x216.jpg', '中层三房，满五年唯一，格局好，13号线沙村站750米', '新塘新世界花园嘉乐苑  | 3室2厅 | 92.61平米 | 北 | 其他 | 无电梯', '中楼层(共6层)塔楼  -  新塘', '200万', '单价21596元/平米')
('https://image1.ljcdn.com/440100-inspection/c3ec0917-7051-42da-b13e-38fc278c749a.jpg.296x216.jpg', '东方名都 3室2厅 250万', '东方名都  | 3室2厅 | 96.01平米 | 西北 | 其他 | 有电梯', '高楼层(共29层)2013年建塔楼  -  新塘', '250万', '单价26039元/平米')
('https://image1.ljcdn.com/440100-inspection/05017371-d536-4090-8938-4e04762b798e.jpg.296x216.jpg', '广州海伦堡 南向四房 望花园 中高层非顶楼 通风采光好', '广州海伦堡  | 4室2厅 | 115.37平米 | 南 | 精装', '高楼层(共12层)2008年建塔楼  -  新塘', '270万', '单价23403元/平米')
('https://image1.ljcdn.com/440100-inspection/1e3a58d4-33f4-4734-86e4-801961d5da67.jpg.296x216.jpg', '新康花园中楼层南北对流精装四房两卫满两年', '新康花园  | 4室2厅 | 146.07平米 | 南 北 | 精装 | 无电梯', '中楼层(共7层)塔楼  -  新塘', '235万', '单价16089元/平米')
('https://image1.ljcdn.com/440100-inspection/f50b4dd1-b0c9-4d01-8574-c65084e3a78c.jpg.296x216.jpg', '宏城汇 精装修一房 南向中层 地铁白江站', '新都盛世名门宏城汇  | 1室1厅 | 50平米 | 南 | 其他 | 有电梯', '中楼层(共22层)2012年建塔楼  -  新塘', '138万', '单价27600元/平米')
('https://image1.ljcdn.com/440100-inspection/1fee5338-5733-4374-9703-335ee1e9a47f.jpg.296x216.jpg', '宏城汇 户型方正 中高层 采光通风好', '新都盛世名门宏城汇  | 2室2厅 | 79.16平米 | 北 | 简装 | 有电梯', '中楼层(共22层)2012年建塔楼  -  新塘', '220万', '单价27792元/平米')
('https://image1.ljcdn.com/440100-inspection/ed3f458b-fd77-446a-a02d-a2a60b84c8f2.jpg.296x216.jpg', '新康花园 大3房 户型方正 看房方便', '新康花园  | 3室2厅 | 131.21平米 | 西北 | 其他 | 无电梯', '高楼层(共7层)塔楼  -  新塘', '248万', '单价18901元/平米')
('https://image1.ljcdn.com/440100-inspection/dd010141-bf3d-40d5-bbf3-996104b0b77f.jpg.296x216.jpg', '金泽豪庭 3室2厅 215万', '金泽豪庭  | 3室2厅 | 87.94平米 | 南 | 精装 | 有电梯', '低楼层(共32层)2009年建塔楼  -  新塘', '215万', '单价24449元/平米')
('https://image1.ljcdn.com/440100-inspection/830b353d-5f6a-4881-bcd5-44b3d920005f.jpg.296x216.jpg', '假日花园 采光好 格局方正 交通便利', '假日花园  | 3室2厅 | 121.88平米 | 东南 | 其他 | 有电梯', '高楼层(共18层)塔楼  -  新塘', '315万', '单价25846元/平米')
('https://image1.ljcdn.com/440100-inspection/0090d34f-67c7-4fbf-aa35-0a0777d900ad.jpg.296x216.jpg', '锦绣天伦花园 3室2厅 302万', '锦绣天伦花园  | 3室2厅 | 119.37平米 | 南 | 其他 | 有电梯', '高楼层(共33层)2015年建塔楼  -  新塘', '302万', '单价25300元/平米')
('https://image1.ljcdn.com/440100-inspection/c488a474-cb50-4eb7-bee6-139370704dbe.jpg.296x216.jpg', '碧桂园凤凰城凤晴苑 2室2厅 230万', '碧桂园凤凰城凤晴苑  | 2室2厅 | 80.93平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2002年建塔楼  -  凤凰城', '230万', '单价28420元/平米')
('https://image1.ljcdn.com/440100-inspection/2bf7fbfd-0faa-45f3-8290-c6c2ae1c8461.jpg.296x216.jpg', '凤凰城凤锦苑 高层南向 毛坯交楼 笋', '碧桂园凤凰城凤锦苑  | 3室2厅 | 122.06平米 | 南 | 其他 | 有电梯', '高楼层(共26层)2002年建塔楼  -  凤凰城', '360万', '单价29494元/平米')
('https://image1.ljcdn.com/440100-inspection/bf8083f3-3bb3-4271-a323-e75234d17130.jpg.296x216.jpg', '新塘新世界花园嘉乐苑 2室2厅 175万', '新塘新世界花园嘉乐苑  | 2室2厅 | 76.29平米 | 南 北 | 精装 | 无电梯', '中楼层(共6层)塔楼  -  新塘', '175万', '单价22939元/平米')
('https://image1.ljcdn.com/440100-inspection/test-a576f758-8ff1-4f47-8f03-1190ac701569.png.296x216.jpg', '宏城汇 精致独立厨房 一房一厅', '新都盛世名门宏城汇  | 1室1厅 | 47.6平米 | 东北 | 精装 | 有电梯', '高楼层(共22层)2012年建塔楼  -  新塘', '125万', '单价26261元/平米')
('https://image1.ljcdn.com/440100-inspection/3a360b8f-83ad-4216-adb5-a1da27ae7b06.jpg.296x216.jpg', '碧桂园凤凰城凤馨苑 3室2厅 236万', '碧桂园凤凰城凤馨苑  | 3室2厅 | 93.28平米 | 西 | 其他 | 有电梯', '高楼层(共18层)2002年建塔楼  -  凤凰城', '236万', '单价25301元/平米')
('https://image1.ljcdn.com/440100-inspection/test-5b9ac8ed-bf6b-4bc0-bb26-6100bb7f5fb3.png.296x216.jpg', '凤馨苑  南向 精装两房  带车位', '碧桂园凤凰城凤馨苑  | 2室2厅 | 97.02平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2002年建塔楼  -  凤凰城', '245万', '单价25253元/平米')
('https://image1.ljcdn.com/440100-inspection/6a717f8d-adb9-4776-947b-7ef70412085c.jpg.296x216.jpg', '东方名都 交通便利 精装复式三房', '东方名都  | 3室2厅 | 114.02平米 | 西北 | 其他 | 有电梯', '低楼层(共29层)2013年建塔楼  -  新塘', '310万', '单价27189元/平米')
('https://image1.ljcdn.com/440100-inspection/b89d037c-715c-4212-9e3d-5a3bc6277912.jpg.296x216.jpg', '凤凰城凤盈苑 西南向 精装大三房证满五年', '碧桂园凤凰城凤盈苑  | 3室2厅 | 139.1平米 | 西南 | 精装 | 有电梯', '低楼层(共11层)2002年建塔楼  -  凤凰城', '295万', '单价21208元/平米')
('https://image1.ljcdn.com/440100-inspection/8e8927b5-693d-438d-8500-6c4b77b0e1b1.jpg.296x216.jpg', '新康花园 3室2厅 210万', '新康花园  | 3室2厅 | 106.02平米 | 南 | 其他', '中楼层(共8层)塔楼  -  新塘', '210万', '单价19808元/平米')
('https://image1.ljcdn.com/440100-inspection/60b97342-15e3-47cb-abf2-bddc17f0cb31.jpg.296x216.jpg', '新世界花园精装三房 全新婚房 格局方正实用 近地铁', '新塘新世界花园  | 3室2厅 | 103.31平米 | 北 | 其他 | 无电梯', '中楼层(共7层)塔楼  -  新塘', '218万', '单价21102元/平米')
('https://image1.ljcdn.com/440100-inspection/bfd97a10-c300-4e4b-a781-236cf610cb5c.jpg.296x216.jpg', '凤凰城凤晴苑 精装一房', '碧桂园凤凰城凤晴苑  | 1室1厅 | 51.15平米 | 东 | 其他 | 有电梯', '高楼层(共28层)2002年建塔楼  -  凤凰城', '128万', '单价25025元/平米')
('https://image1.ljcdn.com/440100-inspection/58dc8340-2a3c-449d-9516-57d20ca2a670.jpg.296x216.jpg', '凤锦苑 精装东南向3房 带家私家电', '碧桂园凤凰城凤锦苑  | 3室2厅 | 107.33平米 | 东南 | 精装 | 有电梯', '中楼层(共24层)2002年建塔楼  -  凤凰城', '295万', '单价27486元/平米')
