('https://image1.ljcdn.com/440100-inspection/6041f7ad-fc9d-431d-b322-271380747104.jpg.296x216.jpg', '小康人家 2室2厅 360万', '小康人家  | 2室2厅 | 89.76平米 | 西南 | 其他 | 有电梯', '中楼层(共11层)2002年建塔楼  -  坑口', '360万', '单价40107元/平米')
('https://image1.ljcdn.com/440100-inspection/8af730aa-71e4-4ff9-9a64-a108170a5f06.JPG.296x216.jpg', '珠岛花园 5室2厅 1111万', '珠岛花园  | 5室2厅 | 277.77平米 | 东南 | 其他 | 有电梯', '高楼层(共12层)1995年建塔楼  -  大坦沙', '1111万', '单价39998元/平米')
('https://image1.ljcdn.com/440100-inspection/66aca1b8-879a-45e6-a045-861fb118e266.JPG.296x216.jpg', '珠岛花园 1室1厅 120万', '珠岛花园  | 1室1厅 | 30.15平米 | 东南 | 其他 | 有电梯', '高楼层(共12层)1995年建塔楼  -  大坦沙', '120万', '单价39801元/平米')
('https://image1.ljcdn.com/440100-inspection/15204ada-0aca-4ba3-93e8-7e68b704e223.jpg.296x216.jpg', '新世界逸彩庭园G区 3室2厅 395万', '新世界逸彩庭园G区  | 3室2厅 | 104平米 | 西南 | 其他 | 有电梯', '中楼层(共18层)2007年建塔楼  -  滘口', '395万', '单价37981元/平米')
('https://image1.ljcdn.com/440100-inspection/fc0e7b1f-6410-4377-b7f7-41d2df96ee2c.jpg.296x216.jpg', '誉品轩 4室1厅 792万', '誉品轩  | 4室1厅 | 145.16平米 | 东南 | 其他', '高楼层(共18层)塔楼  -  人民路', '792万', '单价54561元/平米')
('https://image1.ljcdn.com/440100-inspection/9f92f86f-68c7-4067-84cd-f3e741724396.jpg.296x216.jpg', '多宝路多宝坊 3室1厅 250万', '多宝路多宝坊  | 3室1厅 | 82.89平米 | 东北 | 简装 | 无电梯', '低楼层(共8层)塔楼  -  西关', '250万', '单价30161元/平米')
('https://image1.ljcdn.com/440100-inspection/7401b401-6ebc-4f57-ae66-19604ad80dc6.JPG.296x216.jpg', '四季花园 2室1厅 308万', '四季花园  | 2室1厅 | 78.31平米 | 西北 | 其他 | 有电梯', '中楼层(共18层)2005年建塔楼  -  坑口', '308万', '单价39331元/平米')
('https://image1.ljcdn.com/440100-inspection/3b9be517-3335-4e7f-aaee-36f3f7aacffe.jpg.296x216.jpg', '环市西苑 实用两房 西村地铁站', '富力环市西苑  | 2室1厅 | 61.01平米 | 南 | 其他 | 有电梯', '高楼层(共15层)塔楼  -  西村', '285万', '单价46714元/平米')
('https://image1.ljcdn.com/440100-inspection/ad08c5a0-4c3b-413a-81c3-8cae4e1c2b27.jpg.296x216.jpg', '珠岛花园 实用两房 采光通风', '珠岛花园  | 2室2厅 | 72平米 | 东 | 其他 | 无电梯', '高楼层(共9层)1995年建塔楼  -  大坦沙', '206万', '单价28612元/平米')
('https://image1.ljcdn.com/440100-inspection/7cc9e2fd-78b1-44ae-99c7-61bec370416c.jpg.296x216.jpg', '花地大道南 二房一厅 温馨舒适', '花地大道南  | 2室2厅 | 68平米 | 东南 | 其他', '低楼层(共7层)塔楼  -  龙溪', '180万', '单价26471元/平米')
('https://image1.ljcdn.com/440100-inspection/3c810f0b-1d62-4876-bdab-9b1546d3cfb3.jpg.296x216.jpg', '和平新村和平西十三街 1室1厅 95万', '和平新村和平西十三街  | 1室1厅 | 36.28平米 | 南 | 其他 | 无电梯', '中楼层(共6层)1998年建塔楼  -  西场', '95万', '单价26186元/平米')
('https://image1.ljcdn.com/440100-inspection/70f3ea9c-47c9-420c-8718-2688b387a3eb.jpg.296x216.jpg', '桥东大厦 电梯中层 交通方便', '桥东大厦  | 2室2厅 | 90.55平米 | 东南 | 其他', '低楼层(共23层)1996年建塔楼  -  滘口', '250万', '单价27610元/平米')
('https://image1.ljcdn.com/440100-inspection/c2f31d32-2056-437b-951e-38ddd15ddf93.jpg.296x216.jpg', '珠岛花园 实用两房 望江单位 通风采光好', '珠岛花园  | 2室1厅 | 75.05平米 | 北 | 其他 | 有电梯', '高楼层(共17层)1995年建塔楼  -  大坦沙', '295万', '单价39308元/平米')
('https://image1.ljcdn.com/440100-inspection/a2e8b8ff-b1db-4fdb-882c-3148ddcd17cb.jpg.296x216.jpg', '园景单位 小区管理 低层单位', '红棉苑南区  | 2室1厅 | 72.94平米 | 南 | 简装 | 无电梯', '中楼层(共9层)2000年建塔楼  -  花地大道', '277万', '单价37977元/平米')
('https://image1.ljcdn.com/440100-inspection/49df19fe-ed6f-43a8-b9d2-6181e6f76770.JPG.296x216.jpg', '珠岛花园 六期东南向精装三房', '珠岛花园  | 3室2厅 | 100平米 | 东南 | 其他 | 有电梯', '低楼层(共20层)1995年建塔楼  -  大坦沙', '420万', '单价42000元/平米')
('https://image1.ljcdn.com/440100-inspection/3285d83c-35cf-4693-bee0-ebe7a79551ce.jpg.296x216.jpg', '剑兰大厦 电梯三房 间隔方正 交通方便', '金兰苑  | 2室2厅 | 117.88平米 | 西 | 其他 | 有电梯', '中楼层(共22层)2001年建塔楼  -  汾水', '360万', '单价30540元/平米')
('https://image1.ljcdn.com/440100-inspection/bc0b60bc-bfea-424f-858d-0347e557a4c6.jpg.296x216.jpg', '荔港南湾 实用三房 望游泳池 安静舒适 通风采光好', '荔港南湾  | 3室1厅 | 75平米 | 西南 | 简装 | 有电梯', '高楼层(共28层)2008年建塔楼  -  南岸路', '318万', '单价42400元/平米')
('https://image1.ljcdn.com/440100-inspection/688d5bfd-914a-4001-b336-d2b63ed4107e.jpg.296x216.jpg', '观鹤小区 低楼层 南北对流 采光好', '广钢观鹤小区  | 2室1厅 | 69平米 | 南 | 简装 | 无电梯', '中楼层(共9层)1997年建塔楼  -  鹤洞', '210万', '单价30435元/平米')
('https://image1.ljcdn.com/440100-inspection/ebf780e5-8bb1-41fb-88a8-90e9bf4e1ec2.jpg.296x216.jpg', '环市西路 低层电梯 精装3房', '环市西路黑山三街  | 3室1厅 | 80平米 | 南 北 | 其他 | 无电梯', '中楼层(共6层)1994年建塔楼  -  流花站前', '240万', '单价30000元/平米')
('https://image1.ljcdn.com/440100-inspection/2db2cd34-b507-47ec-af1b-4265c0b1d6b6.jpg.296x216.jpg', '芳园居 教师新村 原装电梯二房 南向朝花园', '芳园居教师新村  | 2室2厅 | 87.94平米 | 南 北 | 精装 | 有电梯', '低楼层(共25层)1998年建塔楼  -  龙溪', '260万', '单价29566元/平米')
('https://image1.ljcdn.com/440100-inspection/aac8d058-e28b-4add-87de-58970fefa419.jpg.296x216.jpg', '芳华苑 交通方便 方正实用2房', '芳华苑  | 2室2厅 | 70.34平米 | 东南 | 其他 | 无电梯', '低楼层(共9层)1999年建塔楼  -  芳村大道', '235万', '单价33410元/平米')
('https://image1.ljcdn.com/440100-inspection/4094518a-1b1a-4de0-8435-7b7393c77557.jpg.296x216.jpg', '荔景华庭 2室1厅 265万', '荔景华庭  | 2室1厅 | 61.47平米 | 西北 | 其他 | 有电梯', '中楼层(共15层)2011年建塔楼  -  西关', '265万', '单价43111元/平米')
('https://image1.ljcdn.com/440100-inspection/ed4bde40-300f-4c48-988b-b8bee69eb22b.jpg.296x216.jpg', '十八甫路 成熟配套 安静宜居', '十八甫路  | 1室1厅 | 49.13平米 | 南 | 其他 | 无电梯', '高楼层(共9层)塔楼  -  西关', '125万', '单价25443元/平米')
('https://image1.ljcdn.com/440100-inspection/73c76f45-a6a1-4795-9c6d-e5452a4b2058.jpg.296x216.jpg', '新世界逸彩庭园E区 3室2厅 450万', '新世界逸彩庭园E区  | 3室2厅 | 109.26平米 | 西北 | 其他 | 有电梯', '低楼层(共20层)2007年建塔楼  -  滘口', '450万', '单价41187元/平米')
('https://image1.ljcdn.com/440100-inspection/d8ce611c-dd07-4953-b1da-29f952ec938c.jpg.296x216.jpg', '环市西路 中层一房 可改两房', '环市西路黑山北街  | 1室1厅 | 48平米 | 东 | 其他', '中楼层(共9层)塔楼  -  流花站前', '115万', '单价23959元/平米')
('https://image1.ljcdn.com/440100-inspection/2fdc865e-4249-4659-a50c-235ec9a533ac.jpg.296x216.jpg', '华丽苑 实用三房带主套 南向', '华丽苑  | 3室2厅 | 123平米 | 南 | 简装 | 无电梯', '中楼层(共9层)1996年建塔楼  -  鹤洞', '298万', '单价24228元/平米')
('https://image1.ljcdn.com/440100-inspection/7acac211-39e5-4813-8c94-464aaba1e35b.jpg.296x216.jpg', '芳雅苑 幽静小区 新净装修', '芳雅苑  | 1室1厅 | 27.16平米 | 东 | 简装 | 无电梯', '高楼层(共9层)1995年建塔楼  -  滘口', '80万', '单价29456元/平米')
('https://image1.ljcdn.com/440100-inspection/04964b8a-859a-4932-9161-326b9a1338e9.jpg.296x216.jpg', '芳园居 南向精装3房 位置安静 配套成熟', '芳园居教师新村  | 3室2厅 | 89.04平米 | 南 | 简装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  龙溪', '260万', '单价29201元/平米')
('https://image1.ljcdn.com/440100-inspection/9e7c6dbd-b859-4e7e-93f7-9ab066760545.jpg.296x216.jpg', '芳村大道西 1室1厅 105万', '芳村大道西  | 1室1厅 | 41.5平米 | 东南 | 其他 | 无电梯', '高楼层(共9层)1988年建塔楼  -  滘口', '105万', '单价25302元/平米')
('https://image1.ljcdn.com/440100-inspection/05ad9d95-e86c-4168-91b5-f1c743eeec8e.jpg.296x216.jpg', '东风西路 实用一房', '东风西路  | 1室1厅 | 47平米 | 西南 | 其他 | 无电梯', '中楼层(共8层)塔楼  -  东风西', '140万', '单价29788元/平米')
('https://image1.ljcdn.com/440100-inspection/4e7fb83e-57d2-40d5-9791-17615262af1d.jpg.296x216.jpg', '牡丹阁靓装温馨两房', '牡丹阁  | 2室2厅 | 64平米 | 北 | 精装 | 无电梯', '高楼层(共9层)2000年建塔楼  -  茶滘', '175万', '单价27344元/平米')
('https://image1.ljcdn.com/440100-inspection/bd950baf-4579-448f-a2f4-97ec571227db.jpg.296x216.jpg', '西湾路大岗元北 1室1厅 80万', '西湾路大岗元北  | 1室1厅 | 30.14平米 | 东南 | 其他 | 无电梯', '高楼层(共9层)板楼  -  西村', '80万', '单价26543元/平米')
('https://image1.ljcdn.com/440100-inspection/a7be29e4-63b8-4c7f-b757-6a2f6b72d058.jpg.296x216.jpg', '电梯两房 北向望江 鹅潭商圈', '交警大楼  | 2室2厅 | 94.5平米 | 东 | 简装', '高楼层(共16层)1998年建塔楼  -  滘口', '290万', '单价30688元/平米')
('https://image1.ljcdn.com/440100-inspection/7b6bbff2-2aaf-49a2-94e0-0ff583fa6d13.jpg.296x216.jpg', '大鹏花园 1室0厅 120万', '大鹏花园  | 1室0厅 | 30.09平米 | 西北 | 其他 | 有电梯', '中楼层(共9层)1999年建塔楼  -  滘口', '120万', '单价39881元/平米')
('https://image1.ljcdn.com/440100-inspection/d2830d73-371d-4a44-89a8-1fb41d9a298c.jpg.296x216.jpg', '人民北路 电梯三房 东向视野', '金门大厦  | 3室2厅 | 135.28平米 | 东南 | 简装 | 有电梯', '中楼层(共20层)2006年建塔楼  -  西华路', '540万', '单价39918元/平米')
('https://image1.ljcdn.com/440100-inspection/191a025b-72d4-4473-9248-162a2d56847f.jpg.296x216.jpg', '四季花园坑口地铁 高层东南向，大2房', '四季花园  | 2室2厅 | 80.27平米 | 东北 | 简装 | 有电梯', '高楼层(共18层)2006年建塔楼  -  坑口', '310万', '单价38620元/平米')
('https://image1.ljcdn.com/440100-inspection/851531cc-2d02-4a99-8b4d-61f327a78c97.jpg.296x216.jpg', '中铁荔湾国际城 实用四房 望江单位', '中铁荔湾国际城  | 4室2厅 | 133平米 | 南 北 | 其他 | 有电梯', '低楼层(共33层)2015年建塔楼  -  龙溪', '520万', '单价39098元/平米')
('https://image1.ljcdn.com/440100-inspection/4ca3c237-9abd-4476-b83b-745ac18a5634.JPG.296x216.jpg', '瑞安花园 高层两房 间隔方正 采光好', '瑞安花园（佛山南海）  | 2室1厅 | 68平米 | 东 | 简装 | 有电梯', '中楼层(共31层)2010年建塔楼  -  滘口', '185万', '单价27206元/平米')
('https://image1.ljcdn.com/440100-inspection/14644370-123a-43fc-ae43-6d108ddd2045.jpg.296x216.jpg', '银海花园 五号地铁线滘口站 电梯精装三房', '银海花园  | 3室2厅 | 108平米 | 东南 | 精装 | 有电梯', '中楼层(共28层)2008年建塔楼  -  滘口', '235万', '单价21760元/平米')
('https://image1.ljcdn.com/440100-inspection/bac86e2d-d918-47b7-b42c-21bca5d4107f.jpg.296x216.jpg', '芳村大道西 1室1厅 116万', '芳村大道西  | 1室1厅 | 39.77平米 | 南 | 其他 | 无电梯', '中楼层(共9层)1988年建塔楼  -  滘口', '116万', '单价29168元/平米')
('https://image1.ljcdn.com/440100-inspection/a50d4845-4bc2-4137-a410-5d3722b2cd10.jpg.296x216.jpg', '新世界逸彩庭园 靓装望花园3房 安静', '新世界逸彩庭园朗逸庭  | 3室2厅 | 95.14平米 | 西北 | 其他 | 有电梯', '中楼层(共25层)2007年建塔楼  -  滘口', '385万', '单价40467元/平米')
('https://image1.ljcdn.com/440100-inspection/12728a67-39d0-4d85-b62e-b0b466dff479.jpg.296x216.jpg', '侨康大厦 2房2厅 388万元', '侨康大厦  | 2室2厅 | 80.65平米 | 西南 | 其他 | 有电梯', '低楼层(共22层)2016年建塔楼  -  西关', '388万', '单价48110元/平米')
('https://image1.ljcdn.com/440100-inspection/3d66fbfe-954c-4c44-a971-e85de3dc0731.jpg.296x216.jpg', '城启广场 南北对流三房 采光好楼层佳', '城启十三行广场  | 3室2厅 | 106.11平米 | 北 | 其他 | 有电梯', '高楼层(共25层)2000年建塔楼  -  人民路', '435万', '单价40996元/平米')
('https://image1.ljcdn.com/440100-inspection/2afb274e-e52b-4653-b6e5-917225043aad.jpg.296x216.jpg', '合兴苑 方正实用 小区管理 园景单位', '合兴苑  | 2室1厅 | 69.05平米 | 东南 | 精装 | 无电梯', '高楼层(共8层)1997年建塔楼  -  花地大道', '210万', '单价30413元/平米')
('https://image1.ljcdn.com/440100-inspection/32b650a9-9f1b-494c-badb-93acd859903f.jpg.296x216.jpg', '花语水岸 4室2厅 800万', '花语水岸  | 4室2厅 | 151.66平米 | 南 | 毛坯', '低楼层(共26层)塔楼  -  大坦沙', '800万', '单价52750元/平米')
('https://image1.ljcdn.com/440100-inspection/test-d4cb2931-d1d2-4ac3-bd9f-ceb336c1dff4.png.296x216.jpg', '荔港南湾 实用两房 东南向', '荔港南湾  | 2室1厅 | 79.65平米 | 东南 | 简装 | 有电梯', '低楼层(共34层)2008年建塔楼  -  南岸路', '325万', '单价40804元/平米')
('https://image1.ljcdn.com/440100-inspection/6055bafc-8d28-4240-bbaf-dc18d2ab473e.jpg.296x216.jpg', '龙湾广场 温馨两房 格局方正 一线江景房', '龙湾广场  | 2室2厅 | 70平米 | 东北 | 其他 | 有电梯', '中楼层(共15层)1999年建塔楼  -  滘口', '250万', '单价35715元/平米')
('https://image1.ljcdn.com/440100-inspection/3233c588-1ea9-4c60-85ca-93937bd1d62e.jpg.296x216.jpg', '红棉苑 地铁一号线 精装大两房 可改三房', '红棉苑南区  | 2室2厅 | 91.11平米 | 西北 | 其他 | 无电梯', '高楼层(共9层)2000年建塔楼  -  花地大道', '280万', '单价30733元/平米')
('https://image1.ljcdn.com/440100-inspection/3b540c99-ac1c-4fad-8e65-43fc65082322.jpg.296x216.jpg', '花地城广场 三房两厅 生活配套成熟', '花地城广场  | 3室2厅 | 98.67平米 | 西南 | 其他 | 有电梯', '中楼层(共17层)2002年建塔楼  -  花地大道', '398万', '单价40337元/平米')
('https://image1.ljcdn.com/440100-inspection/af2b610f-314e-4d8a-987b-9917f7c18302.jpg.296x216.jpg', '荔泰居 三房保养好 舒适', '荔泰居  | 3室1厅 | 114.68平米 | 东 西 | 精装 | 无电梯', '中楼层(共9层)1999年建塔楼  -  中山八', '350万', '单价30520元/平米')
('https://image1.ljcdn.com/440100-inspection/5072fe88-4b71-4060-b185-ab686fe3d977.jpg.296x216.jpg', '红棉苑 中层实用单位 交通方便', '红棉苑南区  | 2室1厅 | 57平米 | 南 | 简装 | 无电梯', '中楼层(共9层)2000年建塔楼  -  花地大道', '205万', '单价35965元/平米')
('https://image1.ljcdn.com/440100-inspection/55cc23f0-4163-4d7f-914d-4ea3988d48ac.jpg.296x216.jpg', '金兰大厦 住家装修 格局方正', '金兰苑  | 3室2厅 | 91.84平米 | 东南 | 其他 | 有电梯', '中楼层(共22层)2001年建塔楼  -  汾水', '312万', '单价33973元/平米')
('https://image1.ljcdn.com/440100-inspection/c0fead3c-68da-4413-843b-227f1695afca.jpg.296x216.jpg', '金鹤苑 精致三房 环境优美', '金鹤苑  | 3室2厅 | 72平米 | 南 | 其他 | 无电梯', '低楼层(共7层)2000年建塔楼  -  东塱', '210万', '单价29167元/平米')
('https://image1.ljcdn.com/440100-inspection/c4780170-1564-4370-beb0-70c7aadc2f1c.jpg.296x216.jpg', '逢源轩 正南向 带大入户花园', '逢源轩  | 3室1厅 | 93平米 | 南 | 其他 | 有电梯', '低楼层(共32层)2008年建塔楼  -  西关', '500万', '单价53764元/平米')
('https://image1.ljcdn.com/440100-inspection/e4355525-2a1d-4f0f-aa38-81e02c73793c.jpg.296x216.jpg', '荔湖明苑 2室2厅 330万', '荔湖明苑  | 2室2厅 | 77.87平米 | 西 | 简装 | 有电梯', '低楼层(共23层)1999年建塔楼  -  黄沙', '330万', '单价42379元/平米')
('https://image1.ljcdn.com/440100-inspection/90ae796a-7018-49a7-8fc4-6eea4caa0745.jpg.296x216.jpg', '荔港南湾 实用四房带主套 采光通风好', '荔港南湾  | 4室2厅 | 138平米 | 西南 | 其他 | 有电梯', '低楼层(共33层)2008年建塔楼  -  南岸路', '620万', '单价44928元/平米')
('https://image1.ljcdn.com/440100-inspection/124c43ff-2114-4c89-a1ec-50924555dd0a.jpg.296x216.jpg', '鹅谭湾 原装精致三房 一线望江', '鹅潭湾  | 3室2厅 | 141平米 | 东南 | 其他', '低楼层(共19层)塔楼  -  滘口', '720万', '单价51064元/平米')
('https://image1.ljcdn.com/440100-inspection/4b695b35-cba3-4ebb-b4fc-cfb89eb21d38.jpg.296x216.jpg', '恒利翠竹苑 楼龄新 间隔房正 通风光线好', '恒利翠竹苑二期  | 3室2厅 | 121.4平米 | 北 | 其他 | 有电梯', '高楼层(共24层)2007年建塔楼  -  花地大道', '500万', '单价41187元/平米')
('https://image1.ljcdn.com/440100-inspection/test-410d1465-370d-43c0-bc3c-cc0805d46acb.png.296x216.jpg', '精装三房户型，配套成熟，交通方便，东南向', '东浚荔景苑  | 3室1厅 | 96.18平米 | 东南 | 精装 | 有电梯', '低楼层(共37层)塔楼  -  中山八', '398万', '单价41381元/平米')
('https://image1.ljcdn.com/440100-inspection/88524e47-a45c-41be-a7ba-4f7c7efb78cd.jpg.296x216.jpg', '荔江美筑 格局方正 望花园单位', '荔江美筑  | 3室1厅 | 95.25平米 | 东北 | 其他 | 有电梯', '低楼层(共15层)2005年建塔楼  -  滘口', '420万', '单价44095元/平米')
('https://image1.ljcdn.com/440100-inspection/def6bae9-dbf7-447b-bac4-ae1460b6d917.jpg.296x216.jpg', '楼梯楼 上下九步行街 光雅里南向三房 超大阳台', '十八甫北路  | 3室1厅 | 99.82平米 | 南 | 简装 | 有电梯', '高楼层(共10层)1991年建塔楼  -  西关', '298万', '单价29854元/平米')
('https://image1.ljcdn.com/440100-inspection/773e46f8-2004-49e4-9eae-662eb387d7b6.jpg.296x216.jpg', '茶滘新村 2室1厅 155万', '茶滘新村  | 2室1厅 | 46.14平米 | 南 | 其他 | 无电梯', '中楼层(共8层)1999年建塔楼  -  茶滘', '155万', '单价33594元/平米')
('https://image1.ljcdn.com/440100-inspection/5832005e-3019-4587-b800-6753c9b171a2.jpg.296x216.jpg', '怡芳苑 中层两房 户型方正 南北对流', '怡芳苑  | 2室1厅 | 68平米 | 南 北 | 其他 | 无电梯', '高楼层(共9层)1998年建塔楼  -  花地大道', '215万', '单价31618元/平米')
('https://image1.ljcdn.com/440100-inspection/28c4ff94-f88c-44ac-af03-71b0cab2fbd3.jpg.296x216.jpg', '鹤洞广钢33层 户型方正 配套完善', '广钢33层  | 2室1厅 | 93平米 | 南 | 其他 | 有电梯', '高楼层(共33层)塔楼  -  鹤洞', '280万', '单价30108元/平米')
('https://image1.ljcdn.com/440100-inspection/390de47f-a5f4-49db-a5bf-6927477dbacf.jpg.296x216.jpg', '怡花阁 实用两房 有加装电梯槽', '怡花阁  | 2室1厅 | 72.37平米 | 东南 | 简装 | 无电梯', '中楼层(共9层)1996年建塔楼  -  芳村大道', '250万', '单价34545元/平米')
('https://image1.ljcdn.com/440100-inspection/87bdc650-4376-45a2-8798-26392bab31b2.jpg.296x216.jpg', '楼梯低层望花园 满五唯一 看房方便', '新世界逸彩庭园A区  | 3室2厅 | 77.67平米 | 西北 | 其他 | 无电梯', '中楼层(共7层)2007年建塔楼  -  滘口', '330万', '单价42488元/平米')
('https://image1.ljcdn.com/440100-inspection/484a1780-b31e-452c-b73b-66fa4e7195ec.jpg.296x216.jpg', '恒荔湾畔 3室2厅 475万', '恒荔湾畔  | 3室2厅 | 97.46平米 | 西北 | 其他 | 有电梯', '高楼层(共34层)2008年建塔楼  -  芳村大道', '475万', '单价48738元/平米')
('https://image1.ljcdn.com/440100-inspection/1c55c149-3849-48eb-9f60-30ab975a27a7.jpg.296x216.jpg', '南北通风对流，光线好，双南向大阳台，户型方正', '荔湾路95号大院  | 4室2厅 | 86.6平米 | 东南 | 精装 | 无电梯', '高楼层(共6层)塔楼  -  荔湾路', '288万', '单价33257元/平米')
('', '十八甫南路菜栏横街 9室3厅 300万', '十八甫南路菜栏横街  | 9室3厅 | 72.91平米 | 南 | 其他 | 无电梯', '低楼层(共3层)板楼  -  西关', '300万', '单价41147元/平米')
('', '新世界逸彩庭园E区 2室1厅 300万', '新世界逸彩庭园E区  | 2室1厅 | 73.8平米 | 东南 | 其他 | 有电梯', '高楼层(共20层)2007年建塔楼  -  滘口', '300万', '单价40651元/平米')
('https://image1.ljcdn.com/440100-inspection/9ed36a5a-d63a-4109-8c7c-f7a3a6be60bd.jpg.296x216.jpg', '芳村花园 电梯三房 方正实用', '芳村花园  | 3室1厅 | 104平米 | 南 北 | 精装 | 有电梯', '高楼层(共18层)1999年建塔楼  -  龙溪', '398万', '单价38270元/平米')
('https://image1.ljcdn.com/440100-inspection/bfb20971-77e4-4047-b50c-aa6a45fd682e.jpg.296x216.jpg', '瑞安花园 电梯两房 间隔方正 采光好', '瑞安花园（佛山南海）  | 2室1厅 | 68.94平米 | 东南 | 精装 | 有电梯', '中楼层(共31层)2010年建塔楼  -  滘口', '205万', '单价29737元/平米')
('https://image1.ljcdn.com/440100-inspection/4bb17b52-a5af-4c73-a4f5-63608b9e0b09.jpg.296x216.jpg', '荔江美筑 电梯三房 户型方正', '荔江美筑  | 3室2厅 | 95平米 | 东北 | 其他 | 有电梯', '高楼层(共14层)2007年建塔楼  -  滘口', '400万', '单价42106元/平米')
('https://image1.ljcdn.com/440100-inspection/32fff337-073c-4283-8edd-2b798bbd873c.jpg.296x216.jpg', '金华小区 电梯两房 户型方正 厅出阳台 看房方便', '金花小区  | 2室1厅 | 67.02平米 | 南 北 | 简装', '高楼层(共9层)1995年建塔楼  -  西华路', '290万', '单价43271元/平米')
('https://image1.ljcdn.com/440100-inspection/f2221d27-2708-4248-a55a-fa2cf378b9d6.jpg.296x216.jpg', '世纪广场 3室1厅 460万', '世纪广场  | 3室1厅 | 92.86平米 | 南 | 其他 | 有电梯', '高楼层(共28层)1999年建塔楼  -  陈家祠', '460万', '单价49537元/平米')
('https://image1.ljcdn.com/440100-inspection/a8eb0d8c-746d-4d68-b6d4-cc1dbe46313c.jpg.296x216.jpg', '荔港南湾 方正两房 通风采光好', '荔港南湾  | 2室1厅 | 59.46平米 | 南 北 | 精装 | 有电梯', '高楼层(共32层)2008年建塔楼  -  南岸路', '258万', '单价43391元/平米')
('https://image1.ljcdn.com/440100-inspection/4787c26e-d1b3-416e-af93-2ce41ac461ba.jpg.296x216.jpg', '珠岛花园 电梯大5房两厅', '珠岛花园  | 5室2厅 | 205平米 | 南 北 | 其他 | 有电梯', '高楼层(共23层)1999年建塔楼  -  大坦沙', '790万', '单价38537元/平米')
('https://image1.ljcdn.com/440100-inspection/c797976c-41e8-454a-b49d-954e9773f4b8.jpg.296x216.jpg', '大鹏花园 电梯三房 带装修', '大鹏花园  | 3室2厅 | 100平米 | 南 | 其他 | 有电梯', '低楼层(共9层)1999年建塔楼  -  滘口', '332万', '单价33200元/平米')
('https://image1.ljcdn.com/440100-inspection/29685ccf-c423-4948-b1d5-6c46c1cc2cbe.jpg.296x216.jpg', '保利公园九里 3室2厅 360万', '保利公园九里  | 3室2厅 | 95平米 | 南 | 其他 | 有电梯', '中楼层(共32层)2014年建塔楼  -  龙溪', '360万', '单价37895元/平米')
('https://image1.ljcdn.com/440100-inspection/af35cf4c-de97-4fcf-bd37-3c6b61b251c1.jpg.296x216.jpg', '邦华星际广场 装修保养实用2房 间隔方正', '邦华星际广场一期  | 1室1厅 | 37平米 | 西南 | 其他', '中楼层(共22层)塔楼  -  龙溪', '110万', '单价29730元/平米')
('https://image1.ljcdn.com/440100-inspection/61fa3beb-58e6-403c-a1b4-b701146f523f.jpg.296x216.jpg', '新世界逸彩庭园 东南向 电梯四房 园林小', '新世界逸彩庭园F区  | 4室2厅 | 160平米 | 东南 | 其他 | 有电梯', '高楼层(共19层)2007年建塔楼  -  滘口', '580万', '单价36250元/平米')
('https://image1.ljcdn.com/440100-inspection/e026d2ff-f9dc-4c22-869d-57d8ab1cbb47.jpg.296x216.jpg', '珠岛花园 2室1厅 155万', '珠岛花园  | 2室1厅 | 50.29平米 | 西北 | 简装 | 无电梯', '高楼层(共9层)1995年建塔楼  -  大坦沙', '155万', '单价30822元/平米')
('https://image1.ljcdn.com/440100-inspection/5fa1ced3-cb1d-4885-92a0-d282ce53f24b.jpg.296x216.jpg', '金宇花园 1室1厅 92万', '金宇花园  | 1室1厅 | 28.75平米 | 东 | 其他 | 无电梯', '低楼层(共9层)1996年建塔楼  -  东塱', '92万', '单价32000元/平米')
('https://image1.ljcdn.com/440100-inspection/9bb2fdb7-c476-4086-9121-ad6f54a33be1.jpg.296x216.jpg', '万科柏悦湾 精装修二房一厅 户型方正', '万科柏悦湾  | 2室1厅 | 78.96平米 | 南 | 精装 | 有电梯', '中楼层(共34层)2005年建塔楼  -  大坦沙', '385万', '单价48759元/平米')
('https://image1.ljcdn.com/440100-inspection/2ec4e640-9c73-404e-a786-39be1e04e559.jpg.296x216.jpg', '花园小区 格局方正 电梯三房', '中铁荔湾国际城  | 3室2厅 | 97.45平米 | 东 | 其他 | 有电梯', '低楼层(共32层)2015年建塔楼  -  龙溪', '410万', '单价42073元/平米')
('https://image1.ljcdn.com/440100-inspection/55dcc001-1059-4fd5-975a-fe517167e750.jpg.296x216.jpg', '保利塞纳维拉 3室1厅 310万', '保利塞纳维拉  | 3室1厅 | 94.42平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2015年建塔楼  -  龙溪', '310万', '单价32833元/平米')
('https://image1.ljcdn.com/440100-inspection/58df4775-2284-4a48-9fac-7c63f733fb4b.jpg.296x216.jpg', '保利公园九里 大型花园小区 封闭式管理', '保利公园九里  | 1室1厅 | 55平米 | 东北 | 其他 | 有电梯', '中楼层(共32层)2014年建塔楼  -  龙溪', '215万', '单价39091元/平米')
('https://image1.ljcdn.com/440100-inspection/e55f4785-c43a-4631-a1da-b76b2ce0a50a.jpg.296x216.jpg', '岭南湾畔 3室1厅 530万', '岭南湾畔  | 3室1厅 | 99.4平米 | 东北 | 其他 | 有电梯', '低楼层(共32层)2010年建塔楼  -  西村', '530万', '单价53320元/平米')
