('https://image1.ljcdn.com/440100-inspection/e0df61a8-104b-4ab7-9c42-4a78695b301f.jpg.296x216.jpg', '中层 南向 全线江景 二沙岛园景 小蛮腰夜景', '碧海湾  | 6室2厅 | 370.12平米 | 东南 | 精装 | 有电梯', '中楼层(共28层)2003年建塔楼  -  珠江新城西', '2670万', '单价72139元/平米')
('https://image1.ljcdn.com/440100-inspection/17646f08-c81d-4d89-b8bf-de650e06e5f0.jpg.296x216.jpg', '东方之珠花园 精致住家装修 南向', '东方之珠花园  | 2室2厅 | 91平米 | 南 | 精装 | 有电梯', '高楼层(共28层)2004年建塔楼  -  天润路', '588万', '单价64616元/平米')
('https://image1.ljcdn.com/440100-inspection/6505fe5a-7acb-4eb6-b7fb-045585073d31.jpg.296x216.jpg', '羊城花园 南向三房 安静望花园', '羊城花园  | 3室1厅 | 89.34平米 | 南 | 其他 | 无电梯', '低楼层(共7层)1999年建塔楼  -  东圃', '330万', '单价36938元/平米')
('https://image1.ljcdn.com/440100-inspection/50606968-e0d6-4cc5-9cab-b5af9889ab37.jpg.296x216.jpg', '协和新世界一期 西南向两房 满五年且唯一', '协和新世界  | 2室2厅 | 83.74平米 | 西南 | 其他 | 有电梯', '低楼层(共33层)2003年建塔楼  -  天润路', '580万', '单价69263元/平米')
('https://image1.ljcdn.com/440100-inspection/de0f2293-6254-4481-9927-f9c2c3227a85.jpg.296x216.jpg', '骏景花园南苑 精致三房 安静望花园', '骏景花园  | 3室2厅 | 105平米 | 北 | 精装 | 有电梯', '中楼层(共20层)2003年建塔楼  -  棠下', '520万', '单价49524元/平米')
('https://image1.ljcdn.com/440100-inspection/eb64ed92-85e1-4280-833f-6adfb00b51f3.jpg.296x216.jpg', '鸿翔大厦，西南向，精致装修，电梯房', '鸿翔大厦  | 2室1厅 | 56.54平米 | 南 | 精装 | 有电梯', '高楼层(共29层)2002年建塔楼  -  天润路', '390万', '单价68978元/平米')
('https://image1.ljcdn.com/440100-inspection/f7bd356c-53db-4987-86a7-7705121d572c.jpg.296x216.jpg', '华标广场 温馨四房 安静舒适看花园', '华标广场  | 4室2厅 | 165平米 | 西南 | 其他 | 有电梯', '高楼层(共30层)2003年建塔楼  -  天润路', '990万', '单价60000元/平米')
('https://image1.ljcdn.com/440100-inspection/749e311b-c401-43ae-b3bd-b674369c1468.jpg.296x216.jpg', '穗园小区 间格方正 采光通风好', '穗园小区  | 2室1厅 | 85平米 | 南 北 | 其他 | 有电梯', '低楼层(共28层)2000年建塔楼  -  天润路', '520万', '单价61177元/平米')
('https://image1.ljcdn.com/440100-inspection/5b881de2-a59c-4ee6-8d54-62445c640b11.jpg.296x216.jpg', '暨南大学华文学院 户型方正 舒适两房', '华文学院  | 2室1厅 | 64.65平米 | 东北 | 其他 | 无电梯', '高楼层(共9层)1999年建塔楼  -  粤垦', '250万', '单价38670元/平米')
('https://image1.ljcdn.com/440100-inspection/1367923a-24aa-4031-9ede-20fe002fa802.jpg.296x216.jpg', '方圆公园一号 中层两房 精装修', '方圆公园一号  | 2室2厅 | 94.22平米 | 东 | 精装 | 有电梯', '低楼层(共17层)2010年建塔楼  -  天河公园', '638万', '单价67714元/平米')
('https://image1.ljcdn.com/440100-inspection/c86c0f80-d65c-4cc9-a78c-68e0c29c2d84.jpg.296x216.jpg', '龙口小区 实用舒适单位 配套完善', '龙口小区  | 2室1厅 | 60平米 | 北 | 简装 | 无电梯', '中楼层(共9层)1996年建塔楼  -  龙口西', '380万', '单价63334元/平米')
('https://image1.ljcdn.com/440100-inspection/38fdd3a1-758c-454d-8067-752ee7e8bf79.jpg.296x216.jpg', '羊城花园 实用两房 方正户型 光线好', '羊城花园  | 2室1厅 | 72.03平米 | 东 | 简装 | 有电梯', '低楼层(共18层)2003年建塔楼  -  东圃', '288万', '单价39984元/平米')
('https://image1.ljcdn.com/440100-inspection/00a66d46-46c9-4463-bfe7-a180de9f42c6.jpg.296x216.jpg', '南兴花园 三房两厅 采光好', '南兴花园  | 3室1厅 | 94.87平米 | 东 东北 | 其他 | 有电梯', '中楼层(共12层)2004年建塔楼  -  沙太北', '320万', '单价33731元/平米')
('https://image1.ljcdn.com/440100-inspection/9885761c-d595-4af2-af74-80c893a46ee3.jpg.296x216.jpg', '阳光桃源 实用两房 东南向 安静', '阳光桃源  | 2室1厅 | 55.68平米 | 东南 | 其他 | 有电梯', '中楼层(共15层)2012年建塔楼  -  东圃', '265万', '单价47594元/平米')
('https://image1.ljcdn.com/440100-inspection/a9d9d02a-bab5-4ca5-a41e-401f316a6610.jpg.296x216.jpg', '东莞庄路 工商局宿舍 电梯三房 五一', '工商局宿舍  | 3室2厅 | 91平米 | 南 | 其他', '低楼层(共15层)2000年建塔楼  -  东莞庄', '478万', '单价52528元/平米')
('https://image1.ljcdn.com/440100-inspection/273bd203-1acb-45ee-8f51-3babe8d9169e.jpg.296x216.jpg', '棠德花园 东向大两房 通风采光好 保养新', '棠德花园  | 1室1厅 | 54.29平米 | 西南 | 简装 | 无电梯', '高楼层(共9层)1997年建塔楼  -  棠下', '168万', '单价30945元/平米')
('https://image1.ljcdn.com/440100-inspection/0003e18e-07b3-4751-ad6d-ea1b2ba341e1.jpg.296x216.jpg', '林和苑电梯三房，格局方正，生活方便', '林和苑  | 3室2厅 | 80.63平米 | 南 北 | 简装', '高楼层(共9层)1999年建塔楼  -  天润路', '445万', '单价55191元/平米')
('https://image1.ljcdn.com/440100-inspection/58a59bc9-101c-4abe-9e7e-e3fcf58bcc9c.jpg.296x216.jpg', '天逸名都 方正两房 厅出阳台 交通方便', '天逸名都  | 2室2厅 | 66.64平米 | 北 | 精装 | 有电梯', '高楼层(共31层)2002年建塔楼  -  龙口西', '450万', '单价67528元/平米')
('https://image1.ljcdn.com/440100-inspection/1481d877-0c17-4014-bad8-9763ee2edd50.jpg.296x216.jpg', '体育东横街 南向大两房 高层采光好', '南雅苑体育东横街  | 2室1厅 | 67.47平米 | 南 北 | 简装 | 无电梯', '中楼层(共8层)1992年建塔楼  -  天河南', '355万', '单价52616元/平米')
('https://image1.ljcdn.com/440100-inspection/bbedcf53-e75a-42b1-bdfa-55a5701b6b77.jpg.296x216.jpg', '方正两房 新装修 东北望花园', '东圃广场  | 2室1厅 | 70平米 | 东北 | 其他 | 有电梯', '低楼层(共17层)2002年建塔楼  -  东圃', '295万', '单价42143元/平米')
('https://image1.ljcdn.com/440100-inspection/7a28205e-1340-450f-9f1d-7181c202e4cc.jpg.296x216.jpg', '粤垦路 观山苑 装修好 采光好', '观山苑  | 1室1厅 | 55平米 | 南 | 精装 | 有电梯', '中楼层(共15层)2010年建塔楼  -  粤垦', '300万', '单价54546元/平米')
('https://image1.ljcdn.com/440100-inspection/679b0de6-ec40-43de-a914-61420eb7ca68.jpg.296x216.jpg', '中兴花园 高层两房 看房方便', '中兴花园二期  | 2室2厅 | 75.46平米 | 北 | 其他 | 有电梯', '中楼层(共18层)2001年建塔楼  -  东圃', '300万', '单价39757元/平米')
('https://image1.ljcdn.com/440100-inspection/abefb01d-00e3-43ec-aaf0-76635b10ffbe.jpg.296x216.jpg', '天河区 燕塘 粤垦 金晖花园 南向2房', '金晖花园  | 2室2厅 | 68平米 | 南 | 简装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  粤垦', '280万', '单价41177元/平米')
('https://image1.ljcdn.com/440100-inspection/ac761aee-d19c-451f-bb6f-8a7daba94d26.jpg.296x216.jpg', '保利中辰 精装两房 厅出阳台 装修保养好', '保利中辰广场  | 2室2厅 | 80.34平米 | 北 | 其他 | 有电梯', '中楼层(共27层)2012年建塔楼  -  龙口西', '630万', '单价78417元/平米')
('https://image1.ljcdn.com/440100-inspection/53978231-b052-4330-83c1-6bdc764b6a43.jpg.296x216.jpg', '天一新村 两房 氛围安静', '天一新村  | 2室1厅 | 53.72平米 | 西 | 其他 | 无电梯', '中楼层(共6层)2008年建塔楼  -  东莞庄', '285万', '单价53053元/平米')
('https://image1.ljcdn.com/440100-inspection/6e8c65f7-5c38-48dd-9fcb-61bf5dcd2240.jpg.296x216.jpg', '高层南向，户型方正，采光*好，可望珠江', '金碧华府  | 3室2厅 | 146平米 | 东南 | 简装 | 有电梯', '高楼层(共32层)2004年建塔楼  -  珠江新城东', '1460万', '单价100000元/平米')
('https://image1.ljcdn.com/440100-inspection/d8f40d46-4926-4fde-aef1-2a31785a0fbc.jpg.296x216.jpg', '康乐大厦 安静二房 视野开阔 户型方正', '康乐大厦  | 2室1厅 | 69平米 | 东南 | 其他 | 有电梯', '中楼层(共9层)2003年建塔楼  -  东圃', '190万', '单价27537元/平米')
('https://image1.ljcdn.com/440100-inspection/84a1d1e9-a19b-47f9-baa9-152e7fa5ccfa.jpg.296x216.jpg', '华景新城 芳满庭园 南向三房 户型方正', '华景新城芳满庭园  | 3室2厅 | 97平米 | 南 | 精装 | 有电梯', '高楼层(共36层)2005年建塔楼  -  华景新城', '590万', '单价60825元/平米')
('https://image1.ljcdn.com/440100-inspection/84350c00-05c7-4b32-ad75-9cacddd592b8.jpg.296x216.jpg', '公安宿舍 2000年楼龄，正规二房', '东圃公安宿舍  | 2室1厅 | 70.11平米 | 南 | 简装 | 无电梯', '中楼层(共9层)1980年建塔楼  -  东圃', '260万', '单价37085元/平米')
('https://image1.ljcdn.com/440100-inspection/d688913b-02bf-41f2-b72b-72f324095ccb.jpg.296x216.jpg', '棠德花园 中楼层 温馨两房 采光通风好', '棠德花园  | 2室1厅 | 61平米 | 东 | 其他 | 无电梯', '中楼层(共9层)1997年建塔楼  -  棠下', '215万', '单价35246元/平米')
('https://image1.ljcdn.com/440100-inspection/0a0210a4-4e39-4291-ba86-631432e09c1a.jpg.296x216.jpg', '信华花园 85方南向两房 精装修保养好', '华景新城信华花园  | 2室2厅 | 85平米 | 南 | 简装 | 有电梯', '中楼层(共30层)2012年建塔楼  -  华景新城', '548万', '单价64471元/平米')
('https://image1.ljcdn.com/440100-inspection/83542eae-944c-4a2d-9cb9-a71e13c95623.jpg.296x216.jpg', '瑞心苑 电梯三房户型方正 高层视野好', '瑞心苑  | 3室2厅 | 77平米 | 东南 | 简装 | 有电梯', '高楼层(共11层)2000年建塔楼  -  粤垦', '405万', '单价52598元/平米')
('https://image1.ljcdn.com/440100-inspection/330e86ad-39d1-43c0-9645-2cf156a09a63.jpg.296x216.jpg', '华建小区 方正三房 西南靓向 楼层好', '华建小区  | 3室2厅 | 121平米 | 西南 | 其他 | 有电梯', '高楼层(共17层)2001年建塔楼  -  天河公园', '685万', '单价56612元/平米')
('https://image1.ljcdn.com/440100-inspection/6ab19572-c6ba-4f9e-beb8-2e949f4cbc85.jpg.296x216.jpg', '侨林苑二期 精装两房 安静位置 采光充足！', '侨林苑二期  | 2室2厅 | 70平米 | 西 | 精装 | 有电梯', '中楼层(共22层)2003年建塔楼  -  天河北', '630万', '单价90000元/平米')
('https://image1.ljcdn.com/440100-inspection/2bd9c128-91a7-4422-b279-ba12c3fae4bf.jpg.296x216.jpg', '骏景花园 户型实用 温馨舒适', '骏景花园  | 2室2厅 | 76平米 | 北 | 其他 | 有电梯', '低楼层(共12层)2000年建塔楼  -  棠下', '370万', '单价48685元/平米')
('https://image1.ljcdn.com/440100-inspection/ba7bc71d-21d1-4254-9676-14b9b405c387.jpg.296x216.jpg', '中兴花园东向两房 厅直出阳台 阳光充足', '中兴花园  | 2室1厅 | 75.67平米 | 东 | 精装 | 有电梯', '高楼层(共12层)1999年建塔楼  -  东圃', '300万', '单价39646元/平米')
('https://image1.ljcdn.com/440100-inspection/d6b7fcc2-640e-495a-bdab-42cfe59659e2.jpg.296x216.jpg', '侨源山庄 南向 电梯三房 安静小区', '侨源山庄  | 3室1厅 | 99.97平米 | 南 | 精装 | 有电梯', '低楼层(共23层)1998年建塔楼  -  粤垦', '375万', '单价37512元/平米')
('https://image1.ljcdn.com/440100-inspection/58c65091-1bec-4cdb-924f-ecd2a2182b16.jpg.296x216.jpg', '中海康城实用两房  装修保养好', '中海康城  | 2室2厅 | 76平米 | 西北 | 简装 | 有电梯', '低楼层(共21层)2002年建塔楼  -  黄村', '295万', '单价38816元/平米')
('https://image1.ljcdn.com/440100-inspection/4c05595b-9494-43cd-825a-ee6a1f78693e.jpg.296x216.jpg', '天雅居 大两房 采光通风好 小区优雅', '天雅居  | 2室2厅 | 96平米 | 西南 | 其他 | 有电梯', '中楼层(共28层)2000年建塔楼  -  东圃', '312万', '单价32500元/平米')
('https://image1.ljcdn.com/440100-inspection/89ff238e-c99e-4ffe-a0b9-02a8c71927d5.jpg.296x216.jpg', '天惠大厦 精装修一房一厅 带大阳台', '天惠大厦  | 1室0厅 | 35平米 | 西 | 简装 | 有电梯', '中楼层(共27层)2008年建塔楼  -  龙口东', '290万', '单价82858元/平米')
('https://image1.ljcdn.com/440100-inspection/73fe832d-0e7b-409d-a0e2-e18200973d1c.jpg.296x216.jpg', '发源楼 两房一厅 交通便利', '发源楼  | 2室1厅 | 52.17平米 | 南 | 其他 | 无电梯', '中楼层(共10层)1996年建塔楼  -  员村', '210万', '单价40254元/平米')
('https://image1.ljcdn.com/440100-inspection/3907f934-656d-45c9-930f-13f12ce8aadb.jpg.296x216.jpg', '东圃广场 高层两房 看山看奥体', '东圃广场  | 2室1厅 | 88.78平米 | 北 | 其他 | 有电梯', '高楼层(共19层)2002年建塔楼  -  东圃', '350万', '单价39424元/平米')
('https://image1.ljcdn.com/440100-inspection/782350fe-def9-4d44-ab2c-5c3d97d834d9.jpg.296x216.jpg', '中海康城 高层两房 通风采光好', '中海康城  | 2室2厅 | 75平米 | 东南 | 精装 | 有电梯', '高楼层(共21层)2003年建塔楼  -  黄村', '340万', '单价45334元/平米')
('https://image1.ljcdn.com/440100-inspection/0a95f96f-3a0f-46d3-bd38-d4987690d79b.jpg.296x216.jpg', '华景新城六期 温馨实用三房 视野开阔', '华景新城逸晖居  | 3室2厅 | 79.5平米 | 西南 | 精装 | 有电梯', '高楼层(共31层)2000年建塔楼  -  华景新城', '410万', '单价51573元/平米')
('https://image1.ljcdn.com/440100-inspection/d8095836-b491-4fd2-8f65-30914ca596ce.jpg.296x216.jpg', '华南理工大学 精装三房 安静校园房', '华南理工大学宿舍西二区  | 3室2厅 | 66平米 | 南 北 | 其他 | 无电梯', '高楼层(共4层)2003年建板楼  -  东莞庄', '355万', '单价53788元/平米')
('https://image1.ljcdn.com/440100-inspection/8351e1d9-3887-4d7b-aa2e-a10c7b3c3d13.jpg.296x216.jpg', '六运小区 精装两房 户型方正 实用', '六运小区  | 2室1厅 | 75平米 | 东 | 精装 | 无电梯', '低楼层(共8层)1997年建塔楼  -  天河南', '480万', '单价64000元/平米')
('https://image1.ljcdn.com/440100-inspection/382502c9-3c62-4db0-b391-9d6c485bfd87.jpg.296x216.jpg', '春江花园 东南向三房 通风采光好', '春江花园  | 3室2厅 | 103平米 | 东南 | 精装 | 有电梯', '高楼层(共16层)2000年建塔楼  -  棠下', '468万', '单价45437元/平米')
('https://image1.ljcdn.com/440100-inspection/cba6347b-aeb8-4cd2-b0ed-bde83c92181b.jpg.296x216.jpg', '天誉华庭 精致装修 户型方正 风格温馨', '天誉华庭  | 2室2厅 | 78平米 | 西北 | 简装 | 有电梯', '低楼层(共38层)2004年建塔楼  -  龙口西', '620万', '单价79488元/平米')
('https://image1.ljcdn.com/440100-inspection/847bf4ee-6e24-4e4f-b046-102f69867b71.jpg.296x216.jpg', '龙口东路翠竹苑 2室2厅 355万', '龙口东路翠竹苑  | 2室2厅 | 77.99平米 | 南 | 其他 | 无电梯', '中楼层(共7层)1995年建塔楼  -  龙口东', '355万', '单价45519元/平米')
('https://image1.ljcdn.com/440100-inspection/095e962e-7e45-449d-a2d3-a769acaeee94.jpg.296x216.jpg', '龙口西*东西大三房加装电梯*地铁急售', '电信宿舍  | 3室2厅 | 120平米 | 东 西 | 简装', '高楼层(共9层)1997年建塔楼  -  龙口东', '600万', '单价50000元/平米')
('https://image1.ljcdn.com/440100-inspection/efa9e9b0-6d82-4a7b-849d-45868139fb1f.jpg.296x216.jpg', '富力院士庭 正规两房一厅', '富力院士庭  | 2室1厅 | 79.42平米 | 东南 | 精装 | 有电梯', '低楼层(共24层)2008年建塔楼  -  东莞庄', '360万', '单价45329元/平米')
('https://image1.ljcdn.com/440100-inspection/48049c6b-81b6-4528-b306-2e0a66ad3b55.jpg.296x216.jpg', '穗茵园 方正三房 新装修', '穗茵园  | 3室2厅 | 79.42平米 | 北 | 简装 | 无电梯', '低楼层(共9层)1999年建塔楼  -  天河公园', '350万', '单价44070元/平米')
('https://image1.ljcdn.com/440100-inspection/65e0d2d5-ed1a-413b-91fd-0353e6406a61.jpg.296x216.jpg', '羊城花园 2室2厅 350万', '羊城花园  | 2室2厅 | 81.06平米 | 北 | 精装 | 有电梯', '低楼层(共18层)2003年建塔楼  -  东圃', '350万', '单价43178元/平米')
('https://image1.ljcdn.com/440100-inspection/2c04fee6-c8cd-40e1-ad7d-bed9586e6037.jpg.296x216.jpg', '东莞庄路 精装两房 小区安静', '嘉逸花园  | 2室2厅 | 93.62平米 | 东 | 其他 | 有电梯', '中楼层(共26层)2005年建塔楼  -  东莞庄', '400万', '单价42726元/平米')
('https://image1.ljcdn.com/440100-inspection/50f4d442-31ea-41ca-adc4-a984f64424b8.jpg.296x216.jpg', '天逸名都 北向 交通方便', '天逸名都  | 2室2厅 | 65平米 | 西北 | 简装 | 有电梯', '中楼层(共31层)2002年建塔楼  -  龙口西', '480万', '单价73847元/平米')
('https://image1.ljcdn.com/440100-inspection/e80b35b8-51d4-444d-88d9-5b81dec9878a.jpg.296x216.jpg', '加拿大花园 2室2厅 450万', '加拿大花园  | 2室2厅 | 103平米 | 东南 | 其他 | 有电梯', '中楼层(共23层)1995年建塔楼  -  华景新城', '450万', '单价43690元/平米')
('https://image1.ljcdn.com/440100-inspection/2ff3193f-9839-4df8-8314-10742c20d78f.jpg.296x216.jpg', '侨源山庄 电梯三房', '侨源山庄  | 3室2厅 | 99.97平米 | 南 | 其他 | 有电梯', '中楼层(共23层)1998年建塔楼  -  粤垦', '450万', '单价45014元/平米')
('https://image1.ljcdn.com/440100-inspection/be1b329e-0572-451e-a5fb-e86ae504c278.jpg.296x216.jpg', '百合苑温馨两房两厅  精装修 户型好', '百合苑A区  | 2室2厅 | 82平米 | 南 | 精装 | 无电梯', '高楼层(共7层)1996年建塔楼  -  员村', '350万', '单价42683元/平米')
('https://image1.ljcdn.com/440100-inspection/00538f79-0cac-481b-a06f-1197f4a5d75c.jpg.296x216.jpg', '体育西路 天河北街 3房2厅 南向', '体育西路天河北街  | 3室3厅 | 100.01平米 | 南 | 简装', '低楼层(共8层)塔楼  -  体育中心', '650万', '单价64994元/平米')
('https://image1.ljcdn.com/440100-inspection/4b7bdae9-fb8d-4b44-a0ef-2276a9d1b27e.jpg.296x216.jpg', '天河南 体育西 红盾大厦 交通方便', '红盾大厦  | 3室1厅 | 163.34平米 | 南 | 精装 | 有电梯', '低楼层(共28层)2008年建塔楼  -  天河南', '780万', '单价47754元/平米')
('https://image1.ljcdn.com/440100-inspection/982d4cf7-60f5-4553-96cc-753873e1dfff.jpg.296x216.jpg', '天朗明居 温馨两房 户型方正', '富力天朗明居N区  | 2室1厅 | 65.2平米 | 北 | 简装 | 有电梯', '中楼层(共26层)2002年建塔楼  -  棠下', '318万', '单价48774元/平米')
('https://image1.ljcdn.com/440100-inspection/4340b8de-6fab-4c4f-8595-b3c6d0cc47a7.jpg.296x216.jpg', '雅怡阁 正规三房 安静舒适', '雅怡阁  | 3室1厅 | 79平米 | 东北 | 其他 | 有电梯', '中楼层(共23层)2000年建塔楼  -  东圃', '278万', '单价35190元/平米')
('https://image1.ljcdn.com/440100-inspection/965f3109-83c2-4ea5-b024-5defd6c37575.jpg.296x216.jpg', '东向两房一厅  交通方便', '康乐大厦  | 2室1厅 | 68.86平米 | 东 | 其他 | 有电梯', '中楼层(共9层)2003年建塔楼  -  东圃', '248万', '单价36016元/平米')
('https://image1.ljcdn.com/440100-inspection/2671d166-e59f-4157-b662-d6b2f5ab2175.jpg.296x216.jpg', '天员大厦 3室1厅 285万', '天员大厦  | 3室1厅 | 70.82平米 | 东 | 其他 | 无电梯', '中楼层(共9层)1995年建塔楼  -  员村', '285万', '单价40243元/平米')
('https://image1.ljcdn.com/440100-inspection/684ed4f4-18c0-4245-ba6e-3ec83c76c1ce.jpg.296x216.jpg', '燕塘大院  舒适三房 户型方正', '燕塘广场  | 3室2厅 | 90平米 | 东北 | 其他 | 无电梯', '高楼层(共9层)1998年建塔楼  -  粤垦', '380万', '单价42223元/平米')
('https://image1.ljcdn.com/440100-inspection/4911d332-562a-41d6-bb97-31f8828e2cc5.jpg.296x216.jpg', '两房一厅 广氮新村 南北通透', '广氮新村  | 2室1厅 | 63.15平米 | 东 | 其他 | 无电梯', '高楼层(共8层)1980年建塔楼  -  车陂', '195万', '单价30879元/平米')
('https://image1.ljcdn.com/440100-inspection/9a24e8eb-aec3-4108-809d-d4fa3425dc32.jpg.296x216.jpg', '广州嘉禾制药厂宿舍 2室1厅 182万', '广州嘉禾制药厂宿舍  | 2室1厅 | 46.41平米 | 东南 | 其他', '高楼层(共9层)塔楼  -  东莞庄', '182万', '单价39216元/平米')
('https://image1.ljcdn.com/440100-inspection/fb0ca030-20bc-48f5-b282-368e4a33a344.jpg.296x216.jpg', '江源半岛 双地铁口物业 格局方正', '江源半岛花园  | 2室2厅 | 83平米 | 南 | 其他 | 有电梯', '高楼层(共17层)2010年建塔楼  -  车陂', '630万', '单价75904元/平米')
('https://image1.ljcdn.com/440100-inspection/882cab35-a768-43df-925e-f228b0141f43.jpg.296x216.jpg', '华港花园 三期 大四房 户型方正', '华港花园  | 4室2厅 | 120平米 | 西北 | 精装 | 有电梯', '高楼层(共25层)2004年建塔楼  -  天河公园', '777万', '单价64750元/平米')
('https://image1.ljcdn.com/440100-inspection/cb226961-01bd-4495-9e81-d57e5fe89605.jpg.296x216.jpg', '天诚广场世纪华都 2室2厅 520万', '天诚广场世纪华都  | 2室2厅 | 75平米 | 东北 | 其他 | 有电梯', '中楼层(共30层)塔楼  -  天润路', '520万', '单价69334元/平米')
('https://image1.ljcdn.com/440100-inspection/ce458e99-a5df-4f1d-8af6-f6926a828098.jpg.296x216.jpg', '光华大厦 实用两房 交通方便 高层明亮', '光华大厦  | 2室2厅 | 88平米 | 东 | 精装 | 有电梯', '中楼层(共25层)2000年建塔楼  -  体育中心', '450万', '单价51137元/平米')
('https://image1.ljcdn.com/440100-inspection/929bf1bf-e6f0-4f92-aa04-88890611ee5d.jpg.296x216.jpg', '芳草园 南向户型 两房可改三房 产权清晰', '芳草园  | 2室2厅 | 92.1平米 | 南 | 其他 | 有电梯', '高楼层(共30层)2004年建塔楼  -  天润路', '670万', '单价72748元/平米')
('https://image1.ljcdn.com/440100-inspection/db74a777-c92c-434b-bacc-b6454e32c93e.jpg.296x216.jpg', '易丰少有大一房 带大平台 装修保养好', '易丰大厦  | 1室0厅 | 37.05平米 | 西 | 精装 | 有电梯', '低楼层(共18层)2010年建塔楼  -  天河公园', '230万', '单价62079元/平米')
('https://image1.ljcdn.com/440100-inspection/5dda6174-2c79-415d-9ec0-a746837eb51c.jpg.296x216.jpg', '丽晴轩 3室2厅 630万', '丽晴轩  | 3室2厅 | 101平米 | 西 西北 | 其他 | 有电梯', '高楼层(共11层)2008年建塔楼  -  东莞庄', '630万', '单价62377元/平米')
('https://image1.ljcdn.com/440100-inspection/a5d9b6d0-7780-456c-8331-16980d1e15c4.jpg.296x216.jpg', '羊城花园 方正三房 安静望花园', '羊城花园  | 3室2厅 | 118平米 | 南 | 精装 | 有电梯', '中楼层(共18层)2003年建塔楼  -  东圃', '480万', '单价40678元/平米')
('https://image1.ljcdn.com/440100-inspection/5d7e5471-084d-4c2f-9da6-668678c4365b.jpg.296x216.jpg', '六运小区 电梯三房 配套完善', '六运小区  | 3室1厅 | 76.86平米 | 东 西 | 精装 | 有电梯', '中楼层(共9层)1993年建塔楼  -  天河南', '420万', '单价54645元/平米')
('https://image1.ljcdn.com/440100-inspection/e18d8d32-d361-4af5-a843-d36b93f93331.jpg.296x216.jpg', '满五无按揭，交通便利，步行可达BRT公交站', '华景新城瑞景楼  | 2室2厅 | 80.88平米 | 北 | 其他 | 无电梯', '中楼层(共9层)1994年建塔楼  -  华景新城', '380万', '单价46984元/平米')
('https://image1.ljcdn.com/440100-inspection/cee1459a-f45d-4a0c-94f7-a947432f8368.jpg.296x216.jpg', '天誉花园 3室2厅 930万', '天誉花园  | 3室2厅 | 161平米 | 东北 | 其他 | 有电梯', '高楼层(共30层)2000年建塔楼  -  天河北', '930万', '单价57764元/平米')
('https://image1.ljcdn.com/440100-inspection/fb01a680-8125-4c98-b05d-2a52e92c6ee7.jpg.296x216.jpg', '侨林苑 实用舒适单位 配套完善', '侨林苑三期  | 2室2厅 | 83平米 | 北 | 精装 | 有电梯', '中楼层(共31层)2003年建塔楼  -  天河北', '750万', '单价90362元/平米')
('https://image1.ljcdn.com/440100-inspection/d6b03763-a535-4007-b3e1-cd3ad1127b96.jpg.296x216.jpg', '乐雅苑 两房一厅 户型方正', '乐雅苑  | 2室2厅 | 67.97平米 | 南 | 其他 | 无电梯', '高楼层(共9层)2006年建塔楼  -  员村', '285万', '单价41931元/平米')
('https://image1.ljcdn.com/440100-inspection/2d10a8d7-b154-4417-8003-97ba1b8853ff.jpg.296x216.jpg', '侨怡苑 2室2厅 550万', '侨怡苑  | 2室2厅 | 81平米 | 西南 | 其他 | 无电梯', '高楼层(共10层)1992年建塔楼  -  体育中心', '550万', '单价67902元/平米')
('https://image1.ljcdn.com/440100-inspection/cfa73792-8cb8-4625-ac96-3cda16ed7aab.jpg.296x216.jpg', '恒达苑 3室2厅 555万', '恒达苑  | 3室2厅 | 92.39平米 | 北 | 其他 | 无电梯', '低楼层(共9层)1998年建塔楼  -  天河北', '555万', '单价60072元/平米')
('https://image1.ljcdn.com/440100-inspection/da2e5138-49ec-4a31-918e-e2c1f9427dde.jpg.296x216.jpg', '富力院士庭 精装两房 电梯高层 户型方正', '富力院士庭  | 2室2厅 | 76.2平米 | 北 | 其他 | 有电梯', '中楼层(共26层)2007年建塔楼  -  东莞庄', '498万', '单价65355元/平米')
('https://image1.ljcdn.com/440100-inspection/983518d8-d791-4f9c-8b15-bb4700034846.jpg.296x216.jpg', '天华苑 南北向3房 楼层好 厅出阳台', '天华苑  | 3室2厅 | 87平米 | 南 北 | 简装 | 无电梯', '中楼层(共8层)2000年建塔楼  -  五山', '405万', '单价46552元/平米')
('https://image1.ljcdn.com/440100-inspection/dd613952-d059-48c4-aaaf-e5ae08980686.jpg.296x216.jpg', '金兴花园 楼层好 采光充足 通风舒适', '金兴花园  | 2室1厅 | 92.13平米 | 北 | 其他 | 有电梯', '低楼层(共16层)1997年建塔楼  -  天河公园', '510万', '单价55357元/平米')
('https://image1.ljcdn.com/440100-inspection/af18901a-7a4f-4d6c-af24-2c98f454a765.jpg.296x216.jpg', '马赛国际公寓 2室1厅 380万', '马赛国际公寓  | 2室1厅 | 74.6平米 | 东 | 其他 | 有电梯', '中楼层(共33层)2006年建塔楼  -  珠江新城东', '380万', '单价50939元/平米')
('https://image1.ljcdn.com/440100-inspection/c8fe0d06-0fa2-49a0-a6c6-ee4615d783ce.jpg.296x216.jpg', '耀星华庭 精装修 温馨住家', '耀星华庭  | 3室2厅 | 119平米 | 北 | 其他 | 有电梯', '中楼层(共31层)2003年建塔楼  -  天河北', '928万', '单价77984元/平米')
