('https://image1.ljcdn.com/440100-inspection/36abca9a-dbc8-4db3-8b5c-20f0a1dc5886.jpg.296x216.jpg', '嘉鸿花园金玫瑰园 2室1厅 288万', '嘉鸿花园金玫瑰园  | 2室1厅 | 69.35平米 | 东南 | 其他 | 有电梯', '中楼层(共19层)1999年建塔楼  -  金碧', '288万', '单价41529元/平米')
('https://image1.ljcdn.com/440100-inspection/b9623e01-c509-4140-aa04-d2930f00e6e6.jpg.296x216.jpg', '金碧二期 安静望花园 采光通风好', '金碧花园第二金碧  | 2室2厅 | 57.4平米 | 北 | 简装 | 有电梯', '低楼层(共12层)2000年建塔楼  -  金碧', '252万', '单价43903元/平米')
('https://image1.ljcdn.com/440100-inspection/c3dba8e6-e73c-4d32-b202-d5bf536ca888.jpg.296x216.jpg', '金碧花园三期 格局方正 南向两房安静', '金碧花园第三金碧  | 2室2厅 | 87平米 | 南 | 简装 | 有电梯', '高楼层(共32层)2000年建塔楼  -  金碧', '349万', '单价40115元/平米')
('https://image1.ljcdn.com/440100-inspection/06029032-513d-44a4-92d8-0dd24dd21ba3.jpg.296x216.jpg', '金碧花园三期 东南向四房', '金碧花园第三金碧  | 4室2厅 | 137.63平米 | 东南 | 简装 | 有电梯', '低楼层(共32层)2000年建塔楼  -  金碧', '655万', '单价47592元/平米')
('https://image1.ljcdn.com/440100-inspection/ea954296-3d20-46bd-9089-c2dbcfded680.jpg.296x216.jpg', '翠馨华庭 东南向两房 实用方正', '翠馨华庭  | 2室1厅 | 40.2平米 | 东南 | 简装 | 有电梯', '低楼层(共24层)2003年建塔楼  -  广州大道南', '175万', '单价43533元/平米')
('https://image1.ljcdn.com/440100-inspection/c2388f8d-9230-4316-8e0b-74c2240f69c8.jpg.296x216.jpg', '丽景湾 精装两房', '丽景湾  | 2室2厅 | 82.54平米 | 东南 | 简装 | 有电梯', '低楼层(共32层)2002年建塔楼  -  滨江东', '520万', '单价63000元/平米')
('https://image1.ljcdn.com/440100-inspection/e22c308d-e56f-48a3-9ea7-4a13db439239.jpg.296x216.jpg', '海琴湾 全新装修 东西对流两房', '海琴湾  | 2室2厅 | 76.81平米 | 东 西 | 精装 | 有电梯', '中楼层(共32层)2002年建塔楼  -  滨江东', '470万', '单价61190元/平米')
('https://image1.ljcdn.com/440100-inspection/9aebfd38-0abf-4af4-9f09-cd6262c0c2a0.JPG.296x216.jpg', '前进路 复式 三房带主套 新装修', '基立北街四航局宿舍  | 3室1厅 | 38.38平米 | 南 | 精装 | 无电梯', '中楼层(共7层)1982年建塔楼  -  前进路', '168万', '单价43773元/平米')
('https://image1.ljcdn.com/440100-inspection/645c9c04-3059-4c8a-b86b-cb813a43b898.jpg.296x216.jpg', '滨江瑞城 精装大两房 拎包入住', '瑞宝花园  | 2室2厅 | 93.5平米 | 南 | 精装 | 有电梯', '中楼层(共31层)1997年建塔楼  -  金碧', '430万', '单价45990元/平米')
('https://image1.ljcdn.com/440100-inspection/97cb90a4-5655-4b13-8ffe-54be151ca4eb.JPG.296x216.jpg', '恒鑫御雅庭 电梯三房 装修保养好', '恒鑫御雅庭  | 3室2厅 | 93.46平米 | 南 | 精装', '中楼层(共11层)2005年建塔楼  -  赤岗', '480万', '单价51359元/平米')
('https://image1.ljcdn.com/440100-inspection/4473759a-6e95-40ef-a906-bdaacbb94b4d.jpg.296x216.jpg', '户型方正 实用单位', '明珠花园  | 2室2厅 | 102平米 | 南 北 | 其他 | 有电梯', '高楼层(共33层)1996年建塔楼  -  东晓路', '500万', '单价49020元/平米')
('https://image1.ljcdn.com/440100-inspection/f6479803-e4be-47a7-b13a-f1e0d3a40182.JPG.296x216.jpg', '金星花园 电梯大两房 北向望广州塔', '金星花园  | 2室2厅 | 78.58平米 | 北 | 简装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  赤岗', '300万', '单价38178元/平米')
('https://image1.ljcdn.com/440100-inspection/2e0b7cf8-a19c-4e8f-8faf-fd503dd50740.jpg.296x216.jpg', '实用舒适单位 配套完善', '嘉仕花园东区  | 3室2厅 | 126平米 | 东 | 精装 | 有电梯', '低楼层(共32层)2003年建塔楼  -  滨江东', '800万', '单价63493元/平米')
('https://image1.ljcdn.com/440100-inspection/cc24f1dd-0c59-4f2d-9b3b-8eb34c7d5308.jpg.296x216.jpg', '南洲名苑 2室1厅 248万', '南洲名苑  | 2室1厅 | 69.8平米 | 北 | 简装 | 有电梯', '高楼层(共9层)1997年建塔楼  -  金碧', '248万', '单价35531元/平米')
('https://image1.ljcdn.com/440100-inspection/fd4040dd-248d-4e04-989e-d7a46775c18e.jpg.296x216.jpg', '盈丰华轩电梯2房 户型方正 保养新', '盈丰华轩  | 2室1厅 | 63.92平米 | 北 | 简装 | 有电梯', '低楼层(共19层)2002年建塔楼  -  江燕路', '280万', '单价43805元/平米')
('https://image1.ljcdn.com/440100-inspection/57730bcb-1a37-4854-85c3-40b7a78703f8.JPG.296x216.jpg', '电器研究所 鹭江地铁口 电梯大三房', '电器研究所  | 3室2厅 | 129平米 | 东北 | 精装 | 有电梯', '高楼层(共18层)2006年建塔楼  -  新港西', '840万', '单价65117元/平米')
('https://image1.ljcdn.com/440100-inspection/200e923e-9bfc-49a3-a19f-bad66e42e639.jpg.296x216.jpg', '鹤洲直街 成熟小区 业主诚意出售', '洪德路鹤洲直街   | 独栋别墅 | 4室2厅 | 93平米 | 东南 | 简装 | 无电梯', '1层暂无数据  -  宝岗', '285万', '单价30646元/平米')
('https://image1.ljcdn.com/440100-inspection/2e9d1818-27c0-479f-883c-6b033b237615.jpg.296x216.jpg', '富景花园 南向2房 房出阳台 少有放盘', '富景花园  | 2室1厅 | 87.8平米 | 南 | 简装 | 有电梯', '高楼层(共32层)2003年建塔楼  -  新港西', '410万', '单价46698元/平米')
('https://image1.ljcdn.com/440100-inspection/1502eb2e-72e5-4b9f-a868-9820cd2b2a4e.JPG.296x216.jpg', '顺景雅苑 精致两房 位置安静 厅出阳台望花园', '顺景雅苑  | 2室1厅 | 74.69平米 | 北 | 精装 | 有电梯', '低楼层(共13层)2000年建塔楼  -  新港西', '305万', '单价40836元/平米')
('https://image1.ljcdn.com/440100-inspection/35497161-3cd5-4452-8ea0-ba57cc1e467e.jpg.296x216.jpg', '金碧花园二期 单边位两房', '金碧花园第二金碧  | 2室1厅 | 60.17平米 | 西南 | 简装 | 有电梯', '高楼层(共32层)2000年建塔楼  -  金碧', '270万', '单价44873元/平米')
('https://image1.ljcdn.com/440100-inspection/23b6911e-cedc-4364-86fd-b5cd955f99ae.jpg.296x216.jpg', '侨诚花园 中低层小两房 保养好', '侨诚花园春晓苑  | 2室1厅 | 42.93平米 | 东南 | 简装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  金碧', '155万', '单价36106元/平米')
('https://image1.ljcdn.com/440100-inspection/3a922a3d-a527-43d9-8746-0137f821e4ef.jpg.296x216.jpg', '江泰路地铁口 三居室 售300万', '晓园花园  | 3室2厅 | 100.08平米 | 东南 | 精装 | 无电梯', '高楼层(共9层)1990年建塔楼  -  昌岗', '290万', '单价28977元/平米')
('https://image1.ljcdn.com/440100-inspection/5847197d-10ab-486e-8769-ccb18f8fbedf.jpg.296x216.jpg', '电梯中高层一房一厅 宽敞明亮', '富力顺意花园  | 1室1厅 | 61平米 | 南 | 简装 | 有电梯', '中楼层(共20层)2005年建塔楼  -  江燕路', '270万', '单价44263元/平米')
('https://image1.ljcdn.com/440100-inspection/7ace7f3a-bdf4-498d-af65-5cd1947e93bc.jpg.296x216.jpg', '罗马家园 正望江景 户型方正', '罗马家园  | 4室2厅 | 164.57平米 | 南 | 精装 | 有电梯', '中楼层(共32层)2012年建塔楼  -  南洲', '730万', '单价44359元/平米')
('https://image1.ljcdn.com/440100-inspection/55f2eebb-e456-45fa-8c33-6bdc46710d13.jpg.296x216.jpg', '晓港湾 实用两房 采光充足', '晓港湾丽华苑  | 2室1厅 | 47.2平米 | 西南 | 简装 | 无电梯', '低楼层(共9层)1999年建塔楼  -  金碧', '170万', '单价36017元/平米')
('https://image1.ljcdn.com/440100-inspection/f127cba0-2c3b-42f5-9ac8-f864d748982c.jpg.296x216.jpg', '新港西路 华乐苑 实用温馨套间', '华乐苑  | 2室1厅 | 52平米 | 北 | 简装 | 有电梯', '高楼层(共9层)1999年建塔楼  -  新港西', '235万', '单价45193元/平米')
('https://image1.ljcdn.com/440100-inspection/32773ee1-c5e3-49bd-b3e4-d163a8c5225a.jpg.296x216.jpg', '温馨一房一厅 南北对流 江景单位', '金碧花园第三金碧  | 1室1厅 | 40.46平米 | 南 北 | 简装 | 有电梯', '高楼层(共32层)2000年建塔楼  -  金碧', '190万', '单价46960元/平米')
('https://image1.ljcdn.com/440100-inspection/2169b1a1-3227-48ad-be2c-43c05a5d1a63.jpg.296x216.jpg', '泰沙路公安宿舍 格局方正 安静望花园', '泰沙路公安宿舍  | 3室2厅 | 90.11平米 | 北 | 其他 | 无电梯', '高楼层(共9层)塔楼  -  金碧', '250万', '单价27744元/平米')
('https://image1.ljcdn.com/440100-inspection/84b36bb5-8d61-4d76-ad00-c37b81b4e06e.jpg.296x216.jpg', '环卫局宿舍 电梯两房 交通方便', '环卫局宿舍  | 2室1厅 | 58平米 | 南 | 简装 | 无电梯', '低楼层(共9层)1999年建塔楼  -  工业大道南', '180万', '单价31035元/平米')
('https://image1.ljcdn.com/440100-inspection/2cdbdbb3-9dd3-416a-acfb-62bd1d4bd42a.jpg.296x216.jpg', '新港西路162号大院 实用3房一厅', '新港西路  | 3室1厅 | 83.54平米 | 南 北 | 其他', '高楼层(共9层)塔楼  -  新港西', '220万', '单价26335元/平米')
('https://image1.ljcdn.com/440100-inspection/82ff0580-58d3-49a3-bf0e-447568d7689f.jpg.296x216.jpg', '东晓南 合生 颐景华苑 实用精美2房', '合生颐景华苑  | 2室2厅 | 88.56平米 | 南 | 精装 | 有电梯', '低楼层(共24层)2005年建塔楼  -  金碧', '438万', '单价49458元/平米')
('https://image1.ljcdn.com/440100-inspection/b6a05749-15c4-42a3-9b2d-9b0f9819564c.JPG.296x216.jpg', '建基路 实用温馨单位 配套完善', '建基路  | 2室1厅 | 75.86平米 | 南 | 其他 | 无电梯', '高楼层(共9层)塔楼  -  东晓路', '300万', '单价39547元/平米')
('https://image1.ljcdn.com/440100-inspection/763e3017-5936-40df-b6ca-f141fb64e1ec.jpg.296x216.jpg', '户型方正 安静两房 环境安静', '前进路  | 2室1厅 | 64平米 | 南 | 精装 | 无电梯', '高楼层(共8层)塔楼  -  前进路', '180万', '单价28125元/平米')
('https://image1.ljcdn.com/440100-inspection/ebc22d46-631e-4556-804e-c60a0bec32b1.jpg.296x216.jpg', '梅园阁 3室2厅 305万', '梅园阁  | 3室2厅 | 118.81平米 | 南 | 简装 | 无电梯', '中楼层(共9层)1999年建塔楼  -  工业大道北', '305万', '单价25672元/平米')
('https://image1.ljcdn.com/440100-inspection/875865ce-b579-4e01-a6b4-939376e1181e.JPG.296x216.jpg', '嘉仕花园东区 4室2厅 920万', '嘉仕花园东区  | 4室2厅 | 147.44平米 | 南 | 其他 | 有电梯', '低楼层(共33层)2004年建塔楼  -  滨江东', '920万', '单价62399元/平米')
('https://image1.ljcdn.com/440100-inspection/1c6f9779-c6d3-465a-9ea6-7c4ca984dd95.jpg.296x216.jpg', '翠馨华庭 大两房 格局方正 视野开阔', '翠馨华庭  | 2室2厅 | 59.58平米 | 东 | 简装 | 有电梯', '高楼层(共24层)2003年建塔楼  -  广州大道南', '240万', '单价40282元/平米')
('https://image1.ljcdn.com/440100-inspection/553d448e-8d4a-446c-97a3-bb95590de67c.jpg.296x216.jpg', '实用单位 四房两厅 交通便利', '保利花园  | 4室2厅 | 143平米 | 南 | 精装 | 有电梯', '中楼层(共19层)2000年建塔楼  -  工业大道中', '638万', '单价44616元/平米')
('https://image1.ljcdn.com/440100-inspection/1f9289c2-db90-4df5-9246-43f2e5279451.jpg.296x216.jpg', '大型小区 环境舒适 旺中带静', '光大花园榕景四季  | 3室2厅 | 121.42平米 | 东 | 精装 | 有电梯', '低楼层(共18层)2004年建塔楼  -  工业大道北', '660万', '单价54357元/平米')
('https://image1.ljcdn.com/440100-inspection/6fb84233-42c9-41c7-8f1e-6c5cd7f27906.jpg.296x216.jpg', '信步闲庭 实用两房 配套完善 交通便捷', '信步闲庭  | 2室1厅 | 76平米 | 西 | 简装 | 有电梯', '中楼层(共18层)2006年建塔楼  -  赤岗', '380万', '单价50000元/平米')
('https://image1.ljcdn.com/440100-inspection/97605618-3e4d-4b7b-9ade-13ee1169ff04.jpg.296x216.jpg', '光大花园 南向小三房 带私家花园', '光大花园  | 3室2厅 | 88平米 | 南 | 简装 | 有电梯', '低楼层(共11层)2006年建塔楼  -  工业大道北', '438万', '单价49773元/平米')
('https://image1.ljcdn.com/440100-inspection/f6bd5c56-39b8-484c-9a99-e27c5b8ceab6.jpg.296x216.jpg', '金影花园 中层2房', '金影花园  | 2室1厅 | 52.84平米 | 西 | 简装 | 无电梯', '中楼层(共9层)1997年建塔楼  -  赤岗', '190万', '单价35958元/平米')
('https://image1.ljcdn.com/440100-inspection/7f3fee6c-ccb2-47a7-9ce8-3574fcab3da8.jpg.296x216.jpg', '珠江帝景赏湖轩 望花园 带平台 户型方正', '珠江帝景苑赏湖轩  | 4室2厅 | 150.55平米 | 西北 | 其他 | 有电梯', '低楼层(共20层)2005年建塔楼  -  滨江东', '850万', '单价56460元/平米')
('https://image1.ljcdn.com/440100-inspection/b6cc2de3-7a71-4388-b805-5c424747f753.jpg.296x216.jpg', '芭堤水岸 高层 小三房 精致装修', '芭堤水岸  | 3室2厅 | 96.28平米 | 东 | 精装 | 有电梯', '高楼层(共32层)2005年建塔楼  -  滨江东', '600万', '单价62319元/平米')
('https://image1.ljcdn.com/440100-inspection/deadc57f-eb90-44e2-b262-77e9f47fd210.jpg.296x216.jpg', '第三金碧 高层南向三居 视野开阔', '金碧花园第三金碧  | 4室2厅 | 128.16平米 | 东南 | 精装 | 有电梯', '高楼层(共32层)2000年建塔楼  -  金碧', '560万', '单价43696元/平米')
('https://image1.ljcdn.com/440100-inspection/c0bc3e56-1cee-4522-937b-d14fdc5e4203.jpg.296x216.jpg', '紫金大街 间隔方正三房 带60方天台花园', '江南西路紫金大街  | 3室1厅 | 65.85平米 | 南 | 精装 | 无电梯', '高楼层(共8层)塔楼  -  江南西', '248万', '单价37662元/平米')
('https://image1.ljcdn.com/440100-inspection/7e6fd20e-257e-4dd6-9629-a910a4a1c16a.jpg.296x216.jpg', '江燕路富力顺意花园南向三房两卫带主卧', '富力顺意花园  | 3室2厅 | 102.41平米 | 东南 | 其他 | 有电梯', '低楼层(共23层)2005年建塔楼  -  江燕路', '440万', '单价42965元/平米')
('https://image1.ljcdn.com/440100-inspection/322efd45-8cee-44a4-947a-78a1cec7b36c.jpg.296x216.jpg', '晓港湾惠侨苑 2室1厅 258万', '晓港湾惠侨苑  | 2室1厅 | 65平米 | 南 北 | 简装 | 无电梯', '中楼层(共9层)1999年建塔楼  -  金碧', '258万', '单价39693元/平米')
('https://image1.ljcdn.com/440100-inspection/05c85b10-c6b6-4399-9384-73b6f2bcea72.jpg.296x216.jpg', '南洲花苑A区 3室2厅 340万', '南洲花苑A区  | 3室2厅 | 93.68平米 | 南 | 简装 | 无电梯', '低楼层(共9层)1993年建塔楼  -  金碧', '340万', '单价36294元/平米')
('https://image1.ljcdn.com/440100-inspection/89eee0b8-8a00-49ae-bdc6-9d7568099592.jpg.296x216.jpg', '愉景南苑，三房单位，朝向好', '愉景南苑  | 3室2厅 | 134平米 | 西 | 其他 | 有电梯', '中楼层(共19层)2002年建塔楼  -  新港西', '668万', '单价49851元/平米')
('https://image1.ljcdn.com/440100-inspection/57a499d5-7a33-4129-a95c-afec192fb281.jpg.296x216.jpg', '工业大道中377号大院 2室2厅 185万', '工业大道中377号大院  | 2室2厅 | 59.01平米 | 北 | 简装 | 无电梯', '高楼层(共8层)2000年建塔楼  -  江燕路', '185万', '单价31351元/平米')
('https://image1.ljcdn.com/440100-inspection/cd28e8a8-e18f-4a84-a465-071a2af13d40.jpg.296x216.jpg', '嘉仕花园 户型方正 高层望江复式 大户型', '嘉仕花园东区  | 8室3厅 | 457.7平米 | 北 | 其他 | 有电梯', '高楼层(共32层)2003年建塔楼  -  滨江东', '2240万', '单价48941元/平米')
('https://image1.ljcdn.com/440100-inspection/139cbc17-75e2-46b0-87e8-19518f964dd4.jpg.296x216.jpg', '珠江帝景 安静望花园五房 精装主卧带阳台', '珠江帝景苑克莱国际公寓灏景轩  | 5室2厅 | 199.81平米 | 西南 | 精装 | 有电梯', '低楼层(共35层)2007年建塔楼  -  滨江东', '1250万', '单价62560元/平米')
('https://image1.ljcdn.com/440100-inspection/b71521b0-2517-4408-b91c-bfd9ebcbab88.JPG.296x216.jpg', '东晓大厦 2室2厅 410万', '东晓大厦  | 2室2厅 | 91平米 | 东南 | 简装', '中楼层(共23层)塔楼  -  东晓路', '410万', '单价45055元/平米')
('https://image1.ljcdn.com/440100-inspection/e6f68815-1dfa-4808-a4c3-31462e8c238a.jpg.296x216.jpg', '南洲花园 交通方便 格局好', '南洲花苑A区  | 3室2厅 | 86.89平米 | 南 | 简装 | 无电梯', '高楼层(共9层)1993年建塔楼  -  金碧', '228万', '单价26241元/平米')
('https://image1.ljcdn.com/440100-inspection/3a1cbf96-7db9-4bbd-ae34-4303dc6c2e11.jpg.296x216.jpg', '南北广场 3室2厅 520万', '南北广场  | 3室2厅 | 104平米 | 东北 | 精装 | 有电梯', '中楼层(共29层)2003年建塔楼  -  宝岗', '520万', '单价50000元/平米')
('https://image1.ljcdn.com/440100-inspection/bc6dcfc7-32a1-449d-a967-7bcedd525117.jpg.296x216.jpg', '珠江帝景 五房出售', '珠江帝景苑克莱国际公寓灏景轩  | 4室2厅 | 252平米 | 北 | 精装 | 有电梯', '中楼层(共32层)2007年建塔楼  -  滨江东', '1500万', '单价59524元/平米')
('https://image1.ljcdn.com/440100-inspection/48e43af3-0e20-4c35-87ec-7f3035e8c97c.jpg.296x216.jpg', '海琴湾 户型实用 配套成熟', '海琴湾  | 3室2厅 | 103平米 | 西北 | 精装 | 有电梯', '高楼层(共32层)2002年建塔楼  -  滨江东', '730万', '单价70874元/平米')
('https://image1.ljcdn.com/440100-inspection/9acf319d-51d2-4a7f-b266-f793b9cff854.jpg.296x216.jpg', '晓港湾晓城大厦 3室1厅 400万', '晓港湾晓城大厦  | 3室1厅 | 92.26平米 | 西南 | 简装 | 有电梯', '高楼层(共32层)2005年建塔楼  -  金碧', '400万', '单价43356元/平米')
('https://image1.ljcdn.com/440100-inspection/445b6b03-3b33-4ffa-a307-44d266bd70c5.jpg.296x216.jpg', '金碧花园第三金碧 2室2厅 395万', '金碧花园第三金碧  | 2室2厅 | 87平米 | 南 | 精装 | 有电梯', '高楼层(共32层)2000年建塔楼  -  金碧', '395万', '单价45403元/平米')
('https://image1.ljcdn.com/440100-inspection/4228376d-95dd-4fa6-a633-cbb432ac0e12.jpg.296x216.jpg', '悦涛轩 望花园三房 无遮挡', '珠江帝景苑悦涛轩  | 3室2厅 | 132.87平米 | 东北 | 精装 | 有电梯', '高楼层(共20层)2007年建塔楼  -  滨江东', '850万', '单价63973元/平米')
('https://image1.ljcdn.com/440100-inspection/3dea1744-405f-4d49-b736-b34ba3109af2.jpg.296x216.jpg', '加怡花园 电梯两房出售', '加怡花园  | 2室2厅 | 73.7平米 | 东北 | 精装 | 有电梯', '中楼层(共9层)2000年建塔楼  -  金碧', '275万', '单价37314元/平米')
('https://image1.ljcdn.com/440100-inspection/c7f602d1-e681-43cd-a220-1cd03559f2c2.jpg.296x216.jpg', '晓南花园 住家装修  天台花园', '晓南花园晓南二街  | 2室1厅 | 63平米 | 北 | 其他 | 无电梯', '高楼层(共9层)1997年建塔楼  -  新港西', '160万', '单价25397元/平米')
('https://image1.ljcdn.com/440100-inspection/536bdc56-520e-4028-b9d1-0e2449881b14.jpg.296x216.jpg', '晓南花园 环境好  温馨舒适', '晓南花园晓南二街  | 2室1厅 | 71平米 | 南 | 其他 | 无电梯', '高楼层(共9层)1997年建塔楼  -  新港西', '180万', '单价25353元/平米')
('https://image1.ljcdn.com/440100-inspection/441416ff-42e4-4ccc-bd58-1e75b54a8ce4.jpg.296x216.jpg', '双子星城 复式舒适4房 装修保养挺好', '双子星城  | 4室2厅 | 75平米 | 南 | 简装 | 有电梯', '低楼层(共18层)2005年建塔楼  -  新港西', '380万', '单价50667元/平米')
('https://image1.ljcdn.com/440100-inspection/702a3b1b-b719-4fa5-a08c-730a112c5baf.jpg.296x216.jpg', '嘉仕花园 实用舒适实用单位', '嘉仕花园东区  | 3室2厅 | 124平米 | 西南 | 精装 | 有电梯', '中楼层(共33层)2006年建塔楼  -  滨江东', '738万', '单价59517元/平米')
('https://image1.ljcdn.com/440100-inspection/ecba7976-57c4-4821-9a2e-2fc05e00722a.jpg.296x216.jpg', '颐景华苑  旺中带静 视野开阔', '合生颐景华苑  | 3室2厅 | 117.29平米 | 北 | 简装 | 有电梯', '低楼层(共18层)2002年建塔楼  -  金碧', '500万', '单价42630元/平米')
('https://image1.ljcdn.com/440100-inspection/cf958667-183e-4c3c-8991-2370bd9488dc.jpg.296x216.jpg', '侨城花园 实用温馨两房 格局方正 配套完善', '侨诚花园春晓苑  | 2室1厅 | 51平米 | 西南 | 简装 | 无电梯', '高楼层(共9层)1998年建塔楼  -  金碧', '193万', '单价37844元/平米')
('https://image1.ljcdn.com/440100-inspection/6cbcdd0c-0865-4b69-aeba-735ea475a618.jpg.296x216.jpg', '海珠半岛花园 装修保养好', '海珠半岛花园  | 4室2厅 | 214平米 | 南 北 | 精装 | 有电梯', '高楼层(共31层)1997年建塔楼  -  滨江东', '1200万', '单价56075元/平米')
('https://image1.ljcdn.com/440100-inspection/beb9e967-1760-475e-a8b5-c262c6138abf.jpg.296x216.jpg', '逸景路 逸景翠园 实用温馨套间', '逸景翠园  | 2室1厅 | 67平米 | 南 北 | 精装 | 有电梯', '高楼层(共19层)2002年建塔楼  -  广州大道南', '320万', '单价47762元/平米')
('https://image1.ljcdn.com/440100-inspection/abac3722-8898-4107-926d-3deb2089b717.jpg.296x216.jpg', '金碧花园 南北通透 带大平台 望花园', '金碧花园第一金碧  | 2室1厅 | 71平米 | 东南 | 其他 | 有电梯', '低楼层(共22层)2000年建塔楼  -  金碧', '260万', '单价36620元/平米')
('https://image1.ljcdn.com/440100-inspection/1ae3ba16-ae1b-4c38-87ca-4321a810e345.JPG.296x216.jpg', '交通便利  环境清静  配套完善', '新鸿花园一期  | 3室1厅 | 95.77平米 | 南 | 简装 | 无电梯', '中楼层(共9层)1997年建塔楼  -  滨江东', '448万', '单价46779元/平米')
('https://image1.ljcdn.com/440100-inspection/00b06a19-9f04-4ba7-ae7a-870942d18fc0.jpg.296x216.jpg', '珠江大家庭花园 2室1厅 350万', '珠江大家庭花园  | 2室1厅 | 77平米 | 南 | 其他 | 无电梯', '高楼层(共9层)2003年建塔楼  -  琶洲', '350万', '单价45455元/平米')
('https://image1.ljcdn.com/440100-inspection/5d9d4475-8b0f-4085-bab3-feb0d15a0ea9.jpg.296x216.jpg', '鸣翠花园 电梯三房 安静望园景', '鸣翠花园  | 3室2厅 | 123平米 | 东南 | 精装 | 有电梯', '中楼层(共11层)2006年建塔楼  -  工业大道南', '529万', '单价43009元/平米')
('https://image1.ljcdn.com/440100-inspection/8e5b1a27-cc45-44eb-8b9d-888459ccea35.jpg.296x216.jpg', '大型小区管理 安静舒服', '南景园  | 3室1厅 | 131平米 | 东南 | 简装 | 有电梯', '中楼层(共12层)2001年建塔楼  -  江燕路', '570万', '单价43512元/平米')
('https://image1.ljcdn.com/440100-inspection/cad99fa6-a312-42c8-8518-4bf61452b948.jpg.296x216.jpg', '芭堤水岸 装修保养好 采光通风。。', '芭堤水岸  | 2室1厅 | 92.76平米 | 东 | 精装 | 有电梯', '中楼层(共32层)2005年建塔楼  -  滨江东', '550万', '单价59293元/平米')
('https://image1.ljcdn.com/440100-inspection/8d1ea8c4-e74b-4bf7-bf57-bd5ab3c98d8f.jpg.296x216.jpg', '森语星园 2室2厅 320万', '森语星园  | 2室2厅 | 82.43平米 | 北 | 简装 | 有电梯', '高楼层(共29层)2004年建塔楼  -  南洲', '320万', '单价38821元/平米')
('https://image1.ljcdn.com/440100-inspection/8374f28f-2b35-45ff-9747-fdbdbb640fba.jpg.296x216.jpg', '新鸿花园 电梯两房 住家装修 保养精致', '新鸿花园二期  | 3室2厅 | 123.64平米 | 南 | 其他 | 有电梯', '中楼层(共15层)1997年建塔楼  -  滨江东', '650万', '单价52572元/平米')
('https://image1.ljcdn.com/440100-inspection/e4af2c23-9a93-4312-8574-4be69674aaed.jpg.296x216.jpg', '沙园社区 大院管理 南向单位 实用两房', '沙园沙园七街  | 2室1厅 | 59.49平米 | 南 北 | 精装 | 无电梯', '高楼层(共7层)2002年建塔楼  -  工业大道北', '180万', '单价30258元/平米')
('https://image1.ljcdn.com/440100-inspection/c72fb06a-9fb3-4c1a-b5e7-ce5272d38969.jpg.296x216.jpg', '实用温馨单位 配套完善', '嘉鸿花园  | 2室1厅 | 69平米 | 东 | 其他 | 有电梯', '中楼层(共12层)1999年建塔楼  -  金碧', '260万', '单价37682元/平米')
('https://image1.ljcdn.com/440100-inspection/adf63fe4-cc02-40ab-adf5-d80d68c277b2.jpg.296x216.jpg', '金穗雅园 2室2厅 300万', '金穗雅园  | 2室2厅 | 57.28平米 | 南 | 简装 | 有电梯', '中楼层(共11层)2002年建塔楼  -  广州大道南', '300万', '单价52375元/平米')
('https://image1.ljcdn.com/440100-inspection/fae755e4-e93b-4e01-83ea-7b880da0fcc2.jpg.296x216.jpg', '珠光高派 临江小户型 厅出阳台 一房一厅', '珠光高派华庭  | 1室1厅 | 52.49平米 | 北 | 简装 | 有电梯', '中楼层(共31层)2006年建塔楼  -  滨江东', '330万', '单价62870元/平米')
('https://image1.ljcdn.com/440100-inspection/caa926e8-93d7-46cb-b2c8-75ea51f15123.jpg.296x216.jpg', '石岗路 低层两房 保养新', '石岗路  | 2室1厅 | 47.98平米 | 西南 | 精装', '低楼层(共7层)暂无数据  -  工业大道南', '135万', '单价28137元/平米')
('https://image1.ljcdn.com/440100-inspection/20a36411-4e88-4992-92ef-11336444e0a8.jpg.296x216.jpg', '实用温馨单位 配套设施完善', '富泽园  | 2室1厅 | 75.07平米 | 东 | 简装 | 有电梯', '中楼层(共22层)2001年建塔楼  -  工业大道北', '360万', '单价47956元/平米')
('https://image1.ljcdn.com/440100-inspection/f22ce6ef-c572-46c7-bbf9-8c0f08846627.jpg.296x216.jpg', '保利红棉花园 3室1厅 265万', '保利红棉花园  | 3室1厅 | 80.17平米 | 西南 | 简装 | 无电梯', '高楼层(共9层)1997年建塔楼  -  江燕路', '265万', '单价33055元/平米')
('https://image1.ljcdn.com/440100-inspection/df7f59f5-d0a8-4f73-bbbd-59c2efbd2909.jpg.296x216.jpg', '锦绣星城    实用三房格局好', '锦丽居  | 3室2厅 | 90.66平米 | 东北 | 精装 | 有电梯', '低楼层(共27层)2010年建塔楼  -  金碧', '468万', '单价51622元/平米')
('https://image1.ljcdn.com/440100-inspection/1b57560f-22fd-4cc1-9208-a54e89e5827a.jpg.296x216.jpg', '明晖苑 2室1厅 223万', '明晖苑  | 2室1厅 | 68.1平米 | 北 | 简装 | 无电梯', '中楼层(共9层)1998年建塔楼  -  广州大道南', '223万', '单价32746元/平米')
